lote_id;produto_id;unidade_id;data_inicio;quantidade_planejada;quantidade_produzida;horas_planejadas;horas_reais;refugo_kg;consumo_energia_kwh;consumo_agua_l
L001166;P006;U01;2026-07-24;530,19;456,65;3,66;4,31;14,15;236,32;868,64
L001167;P006;U02;2024-12-17;926,93;843,07;6,47;6,52;23,24;312,06;668,45
L001168;P006;U01;2025-01-16;753,08;691,55;5,81;7,79;1,55;408,25;866,97
L001169;P005;U02;2025-03-31;737,31;662,64;3,63;3,81;15,91;173,86;1481,12
L001170;P004;U02;2024-01-29;1260,21;1216,41;8,71;8,99;41,15;526,29;2331,68
L001171;P006;U03;2024-12-07;1985,05;2043,16;10,16;10,23;84,89;641,09;5050,08
L001172;P001;U02;2024-11-19;1323,21;1335,94;10,48;11,83;25,46;477,24;3030,42
L001173;P003;U01;2024-08-05;807,35;798,24;3,95;3,81;8,16;244,94;1005,22
L001174;P007;U01;2026-01-11;1366,57;1383,95;8,39;7,74;46,07;363,29;1335,43
L001175;P006;U01;2024-12-16;726,65;652,66;4,73;6,36;15,25;146,67;1581,61
L001176;P002;U02;2026-07-12;590,1;568,92;4,58;4,92;2,86;277,4;724,31
L001177;P003;U01;2026-05-02;762,24;724,04;5,12;4,64;27,33;252,81;592,17
L001178;P001;U01;2024-10-07;1236,99;1215,02;7,68;7,61;5,46;485,69;2146,51
L001179;P008;U03;2025-04-22;551,68;475,22;4,5;4,66;10,39;184,5;767,22
L001180;P001;U01;2024-02-20;972,45;968,52;6,63;6,23;42,91;267,96;2340,38
L001181;P007;U02;2024-12-14;1646,25;1668,07;7,95;7,92;22,79;982,15;3223,82
L001182;P005;U02;2024-12-08;278,97;257,74;1,97;1,9;11,36;115,8;320,35
L001183;P001;U02;2025-12-22;1178,07;1120,85;5,88;7,23;16,54;420,67;1069,7
L001184;P004;U02;2024-12-14;613,09;545,24;5,06;5,19;13,72;165,3;1193,86
L001185;P002;U03;2026-07-16;289,81;280,81;1,54;1,83;10,19;66,48;268,25
L001186;P003;U03;2025-03-20;945,08;907,87;7,08;9,47;26,0;374,72;1435,61
L001187;P005;U02;2025-06-24;1733,99;1508,86;10,49;10,35;47,73;709,44;4159,34
L001188;P002;U03;2024-12-29;415,92;366,69;2,72;3,28;1,77;130,34;406,53
L001189;P006;U03;2025-08-16;640,42;609,17;3,5;3,51;5,32;220,32;719,68
L001190;P002;U02;2024-12-02;505,31;451,32;2,78;2,72;9,94;128,12;635,2
L001191;P007;U02;2026-03-06;1658,53;1553,14;9,34;10,47;43,08;655,25;4281,74
L001192;P001;U03;2025-12-10;1898,82;1669,55;9,72;10,28;36,4;880,89;1453,8
L001193;P001;U01;2026-07-18;2029,57;1948,2;16,46;19,08;8,19;752,19;5394,42
L001194;P004;U01;2026-03-18;1730,15;1749,86;13,77;12,44;5,07;587,29;3558,11
L001195;P003;U03;2025-09-19;928,91;885,01;7,35;6,73;2,2;434,66;2098,52
L001196;P005;U01;2025-10-12;1975,74;1734,66;12,45;13,81;15,75;518,21;1852,64
L001197;P006;U03;2024-04-12;1543,58;1531,56;11,14;12,62;66,06;631,44;1081,99
L001198;P006;U02;2024-10-15;1274,59;1134,74;7,82;10,54;42,26;443,24;1060,36
L001199;P003;U02;2025-10-19;777,68;775,41;4,1;4,09;28,56;277,22;641,14
L001200;P008;U01;2025-01-16;1069,26;944,74;7,24;9,1;36,32;391,66;1251,61
L001201;P006;U01;2026-04-28;1600,31;1480,94;8,36;9,08;40,36;742,31;2532,93
L001202;P005;U03;2024-01-24;645,6;587,04;5,01;5,17;6,07;230,89;1428,44
L001203;P007;U03;2024-09-20;756,34;688,43;3,96;4,49;8,92;183,45;1552,75
L001204;P008;U01;2025-12-25;934,77;908,54;7,73;9,53;4,03;261,01;1201,83
L001205;P006;U01;2025-09-16;1561,42;1350,57;8,19;9,59;33,7;802,05;1045,82
L001206;P004;U02;2024-02-19;1907,51;1775,65;11,78;12,66;77,38;447,91;2617,94
L001207;P001;U03;2026-07-28;877,35;763,12;6,06;7,81;29,84;230,78;1814,66
L001208;P001;U02;2026-04-19;1346,55;1193,65;6,73;8,18;18,23;581,91;1345,71
L001209;P007;U03;2025-06-27;298,36;264,49;1,68;2,21;4,68;87,6;665,98
L001210;P002;U03;2024-10-27;1579,04;1521,36;8,25;11,09;56,52;382,03;4103,98
L001211;P007;U01;2024-04-13;1745,66;1700,85;9,46;11,82;20,61;760,56;3701,1
L001212;P006;U02;2025-01-16;411,69;368,23;2,45;3,15;13,7;190,64;986,52
L001213;P005;U03;2024-09-02;2105,98;1883,89;11,13;11,94;18,95;1062,62;2370,35
L001214;P005;U03;2025-07-01;1413,76;1358,45;9,8;12,63;34,32;771,99;3523,72
L001215;P005;U03;2025-06-21;336,11;320,56;2,13;2,03;8,2;91,25;657,86
L001216;P002;U02;2024-03-05;346,99;325,78;2,47;3,12;11,67;162,16;827,46
L001217;P001;U03;2024-09-26;1606,42;1471,44;8,7;8,79;9,59;668,11;1186,95
L001218;P006;U03;2026-04-30;1670,3;1642,65;11,45;11,23;35,87;466,75;2162,49
L001219;P003;U03;2026-02-17;1159,63;1123,99;5,71;7,51;40,81;292,22;1466,98
L001220;P007;U03;2024-04-06;820,34;840,43;4,09;5,48;7,22;475,49;1068,17
L001221;P003;U03;2024-05-01;1956,52;1760,45;10,9;10,69;37,52;834,74;4085,43
L001222;P002;U02;2025-06-04;709,46;621,41;5,28;6,68;16,39;189,31;1119,76
L001223;P002;U02;2026-01-24;1083,98;1008,86;6,27;6,23;25,78;285,98;1226,89
L001224;P007;U01;2025-09-22;1433,95;1389,77;8,15;8,46;13,91;581,32;1535,23
L001225;P004;U01;2025-09-22;1705,53;1603,88;12,1;14,22;68,07;823,62;2527,47
L001226;P008;U01;2025-06-22;1664,82;1672,31;8,47;10,11;11,35;888,97;1225,95
L001227;P001;U02;2025-01-10;1872,55;1830,27;8,94;8,07;27,24;569,77;3149,6
L001228;P007;U01;2025-10-10;1749,81;1764,03;9,86;12,96;35,1;450,72;3314,37
L001229;P004;U01;2025-12-15;1615,5;1633,56;10,64;12,39;48,73;425,69;2512,49
L001230;P003;U03;2024-06-18;1390,09;1356,24;7,46;8,42;3,2;435,61;2857,51
L001231;P007;U02;2026-05-30;2081,21;2043,96;11,4;14,51;66,27;970,16;3958,5
L001232;P006;U02;2025-08-07;335,69;320,56;1,97;2,25;4,33;184,03;269,81
L001233;P001;U02;2024-10-31;1438,89;1301,78;6,86;7,32;36,19;802,09;1799,57
L001234;P008;U02;2025-12-22;843,63;806,74;6,56;6,35;12,85;346,93;1267,35
L001235;P005;U01;2026-01-01;1298,69;1253,41;7,79;9,85;5,33;718,12;2323,95
L001236;P004;U03;2026-07-14;314,37;270,71;1,86;2,29;4,74;75,7;353,2
L001237;P006;U03;2024-07-31;654,41;580,08;4,77;4,41;2,43;192,85;1560,84
L001238;P005;U01;2024-07-01;1225,99;1163,84;8,33;8,31;3,65;407,28;1490,4
L001239;P002;U02;2025-04-23;1094,23;951,47;6,28;6,14;26,21;245,66;2310,55
L001240;P006;U02;2024-01-24;634,14;631,54;5,07;4,74;13,71;280,5;1450,05
L001241;P001;U02;2024-09-18;986,57;854,42;8,04;10,31;11,94;245,27;1072,99
L001242;P003;U03;2026-01-27;873,29;756,53;7,25;7,64;23,84;233,13;572,77
L001243;P001;U03;2025-07-28;1799,35;1566,23;8,89;9,9;38,56;426,17;1483,68
L001244;P008;U02;2026-07-31;1258,49;1111,14;6,86;6,42;7,14;522,35;3033,54
L001245;P003;U03;2025-02-03;505,79;444,5;2,41;3,22;13,78;256,62;723,79
L001246;P007;U02;2025-05-16;1237,42;1165,94;8,75;8,38;32,98;700,46;1167,28
L001247;P005;U02;2024-03-29;1113,11;1070,12;7,6;7,52;17,65;495,48;1105,73
L001248;P004;U03;2024-07-18;1927,04;1670,97;11,14;14,87;67,85;680,07;4619,78
L001249;P001;U01;2026-06-02;1981,76;1858,56;12,29;12,41;66,01;587,15;3135,59
L001250;P002;U02;2026-03-11;206,86;178,3;1,06;1,4;4,63;59,17;428,19
L001251;P006;U02;2025-06-30;1351,18;1199,2;6,51;8,29;24,75;633,24;2397,95
L001252;P001;U03;2026-07-29;353,5;353,35;2,79;3,6;2,45;151,82;956,72
L001253;P006;U01;2025-06-22;1199,24;1086,82;5,81;7,42;14,93;370,05;1625,91
L001254;P001;U03;2024-04-21;2166,65;2063,88;16,28;15,73;10,07;1141,46;5209,19
L001255;P002;U01;2024-06-29;1289,65;1296,06;7,23;9,58;52,14;790,2;2980,79
L001256;P005;U01;2025-05-07;1125,58;992,13;5,83;7,38;13,6;390,03;1640,27
L001257;P006;U02;2024-01-12;841,46;737,65;5,39;5,64;19,39;316,12;1399,68
L001258;P002;U03;2024-05-14;1264,91;1218,42;6,42;8,24;15,75;635,03;991,68
L001259;P007;U03;2026-03-31;1577,26;1521,79;7,88;9,0;13,38;455,91;2362,86
L001260;P001;U03;2026-04-22;1921,8;1654,49;11,67;12,69;3,72;772,51;3638,99
L001261;P003;U01;2025-12-22;568,68;553,04;3,1;3,87;6,2;283,04;1061,13
L001262;P008;U03;2025-02-12;677,33;661,75;3,57;4,36;25,92;265,69;1521,82
L001263;P002;U03;2025-10-18;686,24;663,16;4,66;5,97;22,72;297,0;971,05
L001264;P006;U03;2025-05-30;812,69;806,29;5,93;6,65;24,2;202,12;1205,22
L001265;P006;U02;2024-01-08;1568,68;1393,15;8,13;10,55;18,37;833,13;3139,13
L001266;P008;U02;2025-01-16;614,18;632,22;4,74;4,78;27,38;253,65;531,72
L001267;P003;U02;2024-09-12;1919,63;1796,06;10,65;10,01;60,0;434,98;3493,98
L001268;P003;U03;2025-12-25;1662,43;1710,61;8,39;10,1;35,13;857,72;4055,83
L001269;P006;U03;2025-03-23;2082,87;1853,86;10,07;13,5;6,65;848,91;4759,69
L001270;P004;U02;2026-03-26;1470,91;1375,24;8,99;8,52;36,13;405,53;2053,18
L001271;P006;U02;2025-06-23;1828,92;1861,63;11,61;15,35;28,53;676,84;2678,24
L001272;P003;U02;2026-01-05;2099,67;2079,29;12,39;15,28;49,94;925,79;4467,95
L001273;P008;U01;2026-03-30;1347,0;1226,98;9,57;9,71;2,78;410,18;3269,52
L001274;P005;U02;2025-04-15;396,31;385,13;2,69;3,53;10,5;112,74;868,08
L001275;P006;U01;2025-08-13;1091,94;1107,84;5,69;5,7;41,45;353,64;1287,88
L001276;P001;U03;2025-03-07;1970,93;1871,62;10,16;13,24;8,88;472,67;3733,72
L001277;P006;U03;2024-03-27;1810,73;1777,95;10,3;9,72;75,8;836,87;4150,89
L001278;P002;U02;2024-04-17;593,12;607,03;3,39;3,31;3,05;322,85;1247,5
L001279;P005;U01;2024-02-20;916,35;793,92;6,05;7,9;20,26;381,81;996,41
L001280;P008;U01;2024-06-25;2084,57;2002,4;11,62;15,45;2803,36;653,87;1486,92
L001281;P006;U02;2025-05-13;978,87;988,52;4,67;5,82;4,34;258,74;1278,39
L001282;P008;U01;2024-12-04;1459,69;1482,79;9,03;10,69;49,88;555,61;2023,56
L001283;P005;U03;2025-05-23;1043,6;931,77;6,69;8,45;20,77;430,83;921,85
L001284;P007;U01;2024-01-17;668,43;574,98;3,55;3,57;19,74;347,01;712,85
L001285;P004;U01;2025-01-03;284,71;283,97;1,49;1,44;8,02;159,98;488,63
L001286;P005;U02;2025-06-06;1151,57;1007,46;8,7;10,42;22,5;504,5;1039,58
L001287;P003;U03;2024-08-26;2057,5;2069,55;13,4;15,52;49,43;952,88;2373,22
L001288;P004;U02;2025-07-12;756,79;653,34;4,95;6,42;4,26;385,32;1172,44
L001289;P008;U03;2025-11-12;602,88;573,6;4,17;4,31;12,11;174,26;1139,67
L001290;P004;U03;2024-01-11;1697,17;1601,08;12,21;11,19;41,01;576,08;3956,88
L001291;P006;U03;2024-12-29;1128,12;998,36;6,4;7,69;42,43;470,8;1555,81
L001292;P003;U01;2025-10-05;830,26;752,66;6,17;8,16;5,12;440,79;1184,13
L001293;P003;U03;2024-06-16;748,41;659,24;5,63;5,73;29,12;393,35;586,88
L001294;P008;U03;2025-02-24;494,89;465,79;2,75;3,26;20,6;250,4;1186,91
L001295;P007;U02;2025-12-16;1251,64;1237,92;6,55;8,13;1733,088;534,14;2890,27
L001296;P004;U03;2025-02-28;1231,91;1108,36;8,57;8,18;31,92;591,08;1604,84
L001297;P001;U02;2026-01-26;612,05;627,48;3,59;3,54;14,34;388,12;1511,66
L001298;P001;U02;2025-01-21;359,67;314,52;2,03;2,34;8,7;166,21;432,9
L001299;P001;U01;2025-02-15;678,74;620,71;3,61;4,01;23,0;154,68;1248,56
L001300;P008;U02;2025-01-01;1545,77;1519,89;9,27;11,5;39,11;648,47;1705,47
L001301;P002;U03;2026-06-26;798,39;774,67;5,96;7,48;5,23;192,9;1352,0
L001302;P001;U02;2024-01-17;510,79;517,91;3,0;2,95;11,25;209,51;1097,66
L001303;P003;U03;2024-07-15;1908,28;1815,25;11,85;11,7;67,64;983,21;2300,04
L001304;P001;U03;2025-03-31;997,84;960,68;5,16;5,13;34,98;288,01;1566,61
L001305;P007;U03;2025-06-25;1047,86;1077,76;5,68;6,95;18,59;313,43;2764,49
L001306;P002;U01;2024-04-10;1698,01;1711,09;13,57;17,14;15,28;939,66;1670,33
L001307;P004;U03;2026-04-03;1119,13;1152,0;5,77;7,68;13,29;655,66;2320,42
L001308;P004;U03;2024-12-11;1467,36;1492,41;10,97;12,29;44,69;888,88;1916,05
L001309;P003;U01;2024-01-22;884,76;910,56;5,74;5,18;31,89;533,1;1774,24
L001310;P005;U03;2024-10-06;1924,53;1919,99;10,8;10,6;47,01;1043,4;2894,49
L001311;P008;U02;2025-05-12;1583,82;1541,39;7,78;9,92;43,75;508,18;1920,59
L001312;P003;U03;2025-10-12;1457,71;1368,34;9,09;10,53;28,24;724,21;1651,23
L001313;P002;U03;2026-07-05;1617,69;1634,07;11,23;11,8;17,77;688,13;1550,73
L001314;P001;U02;2026-04-04;412,93;356,73;2,1;2,41;5,16;221,09;721,54
L001315;P002;U02;2024-12-19;1841,8;1761,89;11,42;12,97;15,45;977,83;1549,44
L001316;P003;U01;2025-03-14;998,81;1020,22;4,8;5,34;13,21;538,58;2361,24
L001317;P005;U02;2026-01-01;1446,2;1309,3;7,3;7,33;54,75;684,72;1297,19
L001318;P008;U02;2024-11-27;2006,7;1764,77;10,15;9,3;47,49;735,56;1836,55
L001319;P001;U03;2024-03-19;1650,51;1535,06;8,38;9,34;46,05;572,01;1707,97
L001320;P001;U01;2025-12-24;612,26;623,73;4,92;5,1;23,94;308,0;483,15
L001321;P001;U02;2025-05-21;760,66;771,96;5,11;5,97;32,28;245,4;1301,67
L001322;P008;U01;2025-07-21;1140,89;1053,34;6,84;6,35;40,96;462,14;1932,7
L001323;P002;U02;2026-06-27;952,99;849,54;5,02;4,76;32,99;499,14;1897,28
L001324;P004;U01;2026-01-14;2144,74;2036,5;10,88;14,43;70,94;841,17;3273,2
L001325;P005;U02;2026-03-19;1699,23;1731,33;12,21;14,74;18,4;944,09;1333,05
L001326;P001;U02;2024-01-21;1752,54;1786,57;9,41;9,75;36,69;1052,0;4833,21
L001327;P006;U02;2024-06-02;1603,91;1482,66;10,82;14,31;47,18;602,39;2127,25
L001328;P002;U01;2026-06-15;1636,0;1470,77;8,23;9,23;61,35;348,25;4065,96
L001329;P006;U02;2024-11-26;906,81;790,07;5,49;4,98;14,14;265,37;1156,43
L001330;P004;U03;2026-03-01;1497,87;1533,74;10,71;12,44;54,79;540,08;3712,89
L001331;P001;U02;2025-01-31;1340,68;1256,41;7,72;10,16;3,01;304,13;1572,21
L001332;P008;U03;2024-04-02;2085,86;1852,37;14,34;16,93;15,63;1007,09;1684,47
L001333;P005;U01;2025-03-08;2082,47;1904,43;17,15;20,46;72,68;747,6;4098,81
L001334;P003;U02;2024-02-17;1773,08;1722,44;14,73;18,9;42,68;758,68;3107,19
L001335;P004;U01;2025-09-30;1719,76;1481,5;14,18;15,15;60,1;687,93;2463,4
L001336;P001;U01;2025-09-28;337,12;347,03;2,46;2,94;10,09;94,11;788,75
L001337;P008;U03;2025-11-05;1517,49;1333,64;11,31;12,29;53,99;462,5;3600,53
L001338;P002;U02;2025-08-15;1814,81;1592,33;10,64;11,07;37,68;697,84;1769,79
L001339;P006;U01;2025-06-19;556,41;547,7;2,84;2,89;1,92;192,84;535,5
L001340;P001;U02;2025-05-21;1419,88;1430,52;10,19;9,7;44,19;864,59;1632,86
L001341;P001;U03;2025-06-25;2030,33;1876,26;15,19;17,06;61,49;617,55;3951,55
L001342;P008;U03;2025-12-05;1175,5;1115,07;6,78;8,23;22,12;457,04;2311,64
L001343;P005;U02;2024-02-05;1876,3;1728,33;12,08;12,17;44,44;444,94;1686,98
L001344;P008;U02;2024-01-12;450,66;462,11;2,3;3,02;5,41;253,27;1218,23
L001345;P003;U02;2025-12-22;1501,82;1436,32;10,34;11,18;15,32;561,26;1963,68
L001346;P003;U01;2025-01-07;372,68;383,5;2,39;2,83;2,42;205,95;926,93
L001347;P007;U02;2024-02-16;1461,74;1405,02;7,27;8,45;47,8;865,54;3319,07
L001348;P006;U02;2025-01-06;1891,74;1710,52;10,77;12,76;36,08;433,14;3450,5
L001349;P002;U01;2024-08-16;750,7;755,46;3,99;5,31;4,71;326,81;846,27
L001350;P003;U03;2025-05-26;1126,44;1153,93;5,68;5,37;17,96;376,31;1800,37
L001351;P003;U03;2024-12-03;862,65;781,73;5,23;6,46;27,99;445,16;841,42
L001352;P002;U02;2024-06-08;2056,5;2016,25;13,13;16,41;2822,75;556,16;3120,46
L001353;P004;U02;2025-10-04;376,79;383,03;2,15;2,33;3,57;98,5;858,51
L001354;P004;U01;2024-01-22;958,16;847,2;5,12;4,91;11,46;488,38;1906,44
L001355;P005;U03;2025-02-27;333,51;338,97;1,91;1,74;9,3;172,59;243,05
L001356;P008;U02;2025-01-20;832,81;846,46;6,51;8,76;15,79;234,74;1279,9
L001357;P005;U02;2024-07-25;1606,82;1593,14;9,28;8,42;24,6;969,62;3781,54
L001358;P005;U01;2024-04-06;1223,85;1131,15;8,95;11,22;7,62;586,53;2006,96
L001359;P003;U02;2025-02-02;1980,78;2000,27;10,44;11,44;16,97;892,24;3512,01
L001360;P005;U03;2025-02-11;562,5;530,25;3,64;3,35;6,45;272,04;430,85
L001361;P002;U01;2026-05-10;315,59;321,56;1,7;1,84;12,39;152,74;397,1
L001362;P007;U02;2026-05-22;1242,84;1278,47;7,94;9,85;41,8;640,4;3415,55
L001363;P002;U01;2025-12-01;1690,11;1678,56;13,37;15,57;59,1;705,62;3645,36
L001364;P003;U03;2025-12-05;673,04;676,35;3,95;3,68;4,7;355,13;778,23
L001365;P008;U01;2025-07-20;749,77;737,9;5,27;5,83;29,34;335,56;974,31
L001366;P002;U01;2024-12-26;246,93;253,85;1,56;1,41;3,97;122,74;473,75
L001367;P008;U03;2025-02-09;1760,99;1695,34;9,76;10,48;57,5;838,06;3887,29
L001368;P006;U01;2025-01-29;1074,35;1034,59;7,63;9,59;32,8;402,9;1540,08
L001369;P005;U02;2026-05-11;2146,56;2164,06;15,15;13,92;77,59;1059,69;3189,37
L001370;P001;U01;2026-05-21;1328,77;1232,78;9,71;11,92;40,83;610,03;2481,16
L001371;P001;U03;2024-09-04;1128,85;1151,26;6,07;7,02;32,25;308,11;1982,49
L001372;P006;U02;2024-08-27;1122,42;1107,82;5,98;6,11;8,32;353,5;905,37
L001373;P005;U03;2024-05-07;473,17;453,18;2,99;3,5;4,54;156,47;1046,18
L001374;P002;U03;2025-12-29;2057,94;2052,18;10,79;12,39;38,25;553,59;2202,47
L001375;P005;U02;2026-06-28;1941,03;1982,12;14,19;14,94;43,84;538,2;5432,44
L001376;P002;U03;2024-05-03;268,89;242,34;1,73;1,98;3,36;76,96;574,95
L001377;P007;U02;2026-05-20;2087,55;1857,96;11,54;12,47;3,72;828,79;3892,05
L001378;P003;U01;2025-10-14;633,36;569,96;3,07;3,68;11,9;343,29;1097,63
L001379;P004;U03;2025-12-06;840,98;798,29;5,07;5,45;4,81;471,65;2182,03
L001380;P001;U02;2025-02-27;1299,03;1171,81;9,34;10,41;37,9;665,8;1448,57
L001381;P003;U02;2025-11-10;1826,1;1671,93;11,85;14,14;13,79;414,99;3384,74
L001382;P001;U01;2025-11-10;776,37;753,67;3,95;4,36;24,02;173,12;1870,03
L001383;P008;U03;2026-04-18;624,07;545,02;3,66;3,45;4,14;183,25;1028,93
L001384;P006;U02;2025-07-17;1002,76;899,46;4,78;5,57;21,02;501,48;1401,85
L001385;P006;U02;2025-07-30;667,19;629,48;4,14;5,43;13,86;198,93;734,89
L001386;P001;U03;2025-05-06;1710,82;1682,45;12,27;12,37;3,83;401,82;1342,39
L001387;P002;U03;2024-07-24;1618,0;1515,21;8,42;8,43;3,04;563,6;3731,81
L001388;P006;U03;2026-07-26;1042,61;957,61;7,72;10,19;4,35;230,87;1506,79
L001389;P008;U02;2026-03-24;1204,55;1087,31;9,95;9,62;11,45;500,3;3040,32
L001390;P005;U02;2025-03-22;993,11;920,34;5,55;6,19;29,51;435,45;2351,46
L001391;P004;U01;2024-02-08;451,18;459,2;2,97;3,77;15,58;203,34;661,04
L001392;P008;U01;2025-05-19;1776,01;1687,29;13,09;15,46;62,49;478,02;2788,76
L001393;P006;U03;2024-04-06;1917,68;1755,03;12,44;12,28;29,24;418,37;1331,23
L001394;P002;U01;2024-10-05;1749,6;1505,0;12,44;13,44;48,78;790,22;3591,21
L001395;P005;U01;2025-08-03;1533,23;1355,01;11,65;12,07;19,33;689,02;3581,58
L001396;P006;U01;2026-03-07;1146,78;1064,93;9,52;8,73;18,5;458,76;841,13
L001397;P008;U01;2024-01-05;967,98;980,97;6,05;7,59;41,87;589,04;1846,4
L001398;P004;U01;2025-02-15;1719,37;1601,65;8,53;8,2;17,58;489,78;3941,68
L001399;P007;U01;2024-07-15;666,22;663,05;5,0;4,51;21,67;174,43;1198,26
L001400;P003;U02;2026-03-01;854,0;822,29;5,79;6,31;35,69;452,42;1407,12
L001401;P005;U01;2026-04-09;360,77;331,16;2,61;3,02;6,55;179,8;814,71
L001402;P004;U02;2024-10-14;649,5;608,56;4,51;5,62;22,93;254,72;1020,09
L001403;P008;U02;2026-01-07;1789,6;1826,55;8,92;8,49;15,67;607,46;1670,88
L001404;P008;U02;2024-04-21;2004,22;2036,48;10,84;13,35;86,76;953,98;2000,65
L001405;P005;U01;2024-11-18;1386,23;1426,73;11,44;14,58;14,99;447,34;1854,8
L001406;P002;U03;2026-04-10;335,07;292,37;2,52;3,35;1,28;150,2;743,73
L001407;P003;U02;2025-06-23;260,33;240,73;2,02;2,13;0,92;88,14;238,37
L001408;P005;U01;2025-06-25;1473,16;1493,65;9,14;12,17;7,22;514,73;1178,71
L001409;P002;U02;2026-07-08;1961,78;1799,77;12,86;16,6;50,56;1024,77;4430,96
L001410;P005;U01;2024-08-07;1308,23;1243,09;6,41;7,69;27,47;386,95;2027,25
L001411;P001;U02;2024-08-05;490,33;469,41;2,9;3,59;14,02;229,42;660,8
L001412;P008;U02;2024-01-25;507,92;518,79;3,52;4,51;11,95;166,58;725,13
L001413;P005;U01;2025-08-04;1394,86;1237,86;8,98;8,99;41,59;380,22;1284,42
L001414;P006;U02;2024-02-24;1187,73;1160,3;6,53;7,14;36,63;435,2;2055,24
L001415;P005;U01;2024-11-07;288,87;283,14;1,81;1,82;2,92;140,76;210,95
L001416;P003;U02;2024-02-15;1836,34;1602,75;13,05;12,88;65,75;727,94;3165,61
L001417;P008;U03;2024-11-13;1269,03;1272,57;7,6;9,31;17,93;593,88;1658,35
L001418;P007;U02;2024-01-10;595,19;611,08;3,9;5,23;11,0;189,56;850,34
L001419;P002;U02;2024-03-22;743,41;734,44;5,3;5,84;18,69;177,89;1085,11
L001420;P004;U03;2024-09-21;1086,21;1067,45;6,9;6,24;35,22;651,95;2814,47
L001421;P007;U02;2024-12-18;1930,4;1861,48;10,11;11,86;64,01;1070,14;2645,67
L001422;P001;U01;2025-09-18;1056,44;1028,24;5,08;6,27;12,27;484,01;2176,79
L001423;P001;U03;2026-02-05;2194,33;2146,8;10,46;13,67;14,93;1165,37;2238,73
L001424;P003;U03;2025-09-21;903,57;806,94;4,38;5,31;33,11;219,94;1071,3
L001425;P001;U02;2026-06-13;1039,1;1066,83;6,35;6,63;3,06;315,96;1092,74
L001426;P005;U03;2026-06-08;1379,74;1345,25;6,91;8,69;48,28;612,65;1476,25
L001427;P004;U01;2024-12-12;655,49;626,5;5,0;4,9;9,94;383,78;831,92
L001428;P002;U01;2025-03-30;824,01;848,0;4,2;5,13;33,55;261,61;960,81
L001429;P003;U02;2026-01-16;645,08;655,91;3,59;3,63;14,5;220,99;1716,65
L001430;P001;U02;2026-02-19;1939,83;1858,01;15,0;18,55;45,47;701,15;4384,22
L001431;P001;U01;2025-02-15;964,86;833,16;4,76;4,32;20,15;434,76;2204,43
L001432;P005;U03;2025-06-27;1129,81;1130,85;6,57;7,73;43,84;580,4;2610,8
L001433;P007;U03;2025-11-13;902,23;879,82;5,52;6,18;15,59;230,15;1888,01
L001434;P001;U03;2024-01-12;1475,8;1436,09;12,17;15,63;17,18;689,64;3921,34
L001435;P003;U02;2024-01-30;383,65;342,6;2,52;3,34;6,81;149,02;950,01
L001436;P004;U01;2025-08-20;1472,52;1403,07;10,76;11,44;11,79;529,36;987,38
L001437;P002;U03;2024-12-20;1839,91;1825,85;13,09;12,29;68,2;765,77;2671,24
L001438;P002;U02;2025-03-28;1778,6;1790,7;9,68;11,42;54,93;1003,12;3061,32
L001439;P008;U03;2024-11-16;666,02;627,45;4,62;5,43;878,4300000000001;207,28;1247,88
L001440;P008;U02;2025-01-19;928,53;908,1;5,8;7,12;33,76;391,62;1862,62
L001441;P007;U02;2024-06-18;1283,25;1156,02;6,21;8,1;1618,4279999999999;657,01;2312,72
L001442;P004;U02;2025-06-07;1734,51;1778,02;8,93;11,66;46,06;655,3;1732,07
L001443;P003;U01;2025-09-01;308,0;270,33;1,53;1,45;6,37;130,25;739,64
L001444;P002;U02;2025-07-17;337,67;291,49;1,89;2,42;12,32;102,51;398,56
L001445;P002;U03;2026-01-13;553,95;479,04;2,92;3,34;14,71;269,16;408,15
L001446;P002;U01;2024-06-05;731,7;724,42;3,89;4,26;3,55;351,59;1238,14
L001447;P005;U02;2024-10-02;685,03;615,37;3,67;3,46;15,42;288,35;1643,7
L001448;P006;U01;2025-08-14;1239,46;1220,78;10,26;13,52;54,01;402,08;1155,36
L001449;P008;U03;2026-05-18;1651,96;1631,92;8,33;10,43;6,94;913,12;3286,97
L001450;P001;U01;2024-05-23;739,35;722,09;3,6;4,71;9,02;371,78;747,95
L001451;P005;U01;2025-09-25;964,78;936,18;7,64;8,17;25,26;483,51;1553,53
L001452;P006;U03;2025-03-31;415,77;385,38;3,11;3,23;4,54;203,12;558,82
L001453;P006;U01;2024-10-18;731,05;731,28;3,91;4,68;10,16;252,69;1629,69
L001454;P002;U02;2026-07-13;1590,22;1486,95;10,11;11,4;61,74;698,99;1117,66
L001455;P008;U02;2026-05-08;1989,97;2018,57;14,7;18,73;84,13;586,37;5005,04
L001456;P007;U02;2025-04-01;1434,64;1252,21;10,84;12,12;29,64;321,77;884,19
L001457;P004;U02;2025-03-06;483,62;443,62;2,55;2,75;1,64;193,85;379,35
L001458;P001;U03;2026-06-19;2075,83;2063,61;16,2;19,13;36,59;1270,83;2044,61
L001459;P007;U02;2026-01-04;1291,45;1233,71;6,22;6,36;15,89;571,42;2393,12
L001460;P008;U01;2024-01-03;1700,06;1533,17;8,15;9,78;22,45;487,13;3919,35
L001461;P007;U03;2024-05-02;1449,85;1263,18;10,63;10,57;35,44;622,26;2676,37
