cadeado_id;pessoa_id;cor;status
CD0709;P00696;Azul;Em uso
CD0710;P00031;Azul;Disponível
CD0711;P00315;Vermelho;Disponível
CD0712;P00663;Amarelo;Bloqueado
CD0713;P00965;Amarelo;Em uso
CD0714;P00670;Vermelho;Em uso
CD0715;P00257;Azul;Bloqueado
CD0716;P00753;Amarelo;Bloqueado
CD0717;P00730;Vermelho;Bloqueado
CD0718;P00749;Azul;Disponível
CD0719;P00973;Amarelo;Em uso
CD0720;P00441;Verde;Disponível
CD0721;P00979;Azul;Bloqueado
CD0722;P00948;Azul;Disponível
CD0723;P01388;Azul;Bloqueado
CD0724;P00660;Verde;Disponível
CD0725;P00218;Vermelho;Em uso
CD0726;P01459;Vermelho;Disponível
CD0727;P00175;Azul;Bloqueado
CD0728;P00377;Azul;Disponível
CD0729;P00498;Amarelo;Em uso
CD0730;P01392;Azul;Disponível
CD0731;P01112;Verde;Disponível
CD0732;P01240;Amarelo;Disponível
CD0733;P01378;Verde;Bloqueado
CD0734;P00530;Azul;Disponível
CD0735;P00627;Verde;Em uso
CD0736;P00468;Azul;Bloqueado
CD0737;P01052;Azul;Disponível
CD0738;P00082;Vermelho;Disponível
CD0739;P00718;Amarelo;Disponível
CD0740;P00101;Amarelo;Bloqueado
CD0741;P01004;Amarelo;Em uso
CD0742;P00925;Verde;Bloqueado
CD0743;P01460;Verde;Em uso
CD0744;P00345;Vermelho;Em uso
CD0745;P00038;Azul;Disponível
CD0746;P01437;Verde;Disponível
CD0747;P00021;Azul;Bloqueado
CD0748;P01391;Azul;Bloqueado
CD0749;P00951;Amarelo;Bloqueado
CD0750;P00988;Vermelho;Disponível
CD0751;P00414;Verde;Bloqueado
CD0752;P00703;Amarelo;Disponível
CD0753;P00056;Azul;Disponível
CD0754;P00704;Vermelho;Disponível
CD0755;P01223;Verde;Disponível
CD0756;P01392;Vermelho;Em uso
CD0757;P00049;Azul;Em uso
CD0758;P00927;Vermelho;Bloqueado
CD0759;P01135;Vermelho;Bloqueado
CD0760;P00503;Azul;Disponível
CD0761;P00123;Verde;Disponível
CD0762;P00868;Verde;Em uso
CD0763;P00612;Verde;Bloqueado
CD0764;P00834;Amarelo;Em uso
CD0765;P00988;Amarelo;Disponível
CD0766;P01254;Vermelho;Disponível
CD0767;P00694;Azul;Disponível
CD0768;P00107;Azul;Bloqueado
CD0769;P01375;Verde;Disponível
CD0770;P00717;Azul;Disponível
CD0771;P00223;Verde;Em uso
CD0772;P01219;Verde;Em uso
CD0773;P01201;Verde;Em uso
CD0774;P00777;Verde;Em uso
CD0775;P00574;Amarelo;Bloqueado
CD0776;P00759;Vermelho;Em uso
CD0777;P00256;Amarelo;Disponível
CD0778;P00959;Vermelho;Disponível
CD0779;P00455;Amarelo;Em uso
CD0780;P00541;Vermelho;Bloqueado
CD0781;P00595;Amarelo;Bloqueado
CD0782;P00975;Amarelo;Disponível
CD0783;P00853;Azul;Disponível
CD0784;P01071;Vermelho;Em uso
CD0785;P01014;Amarelo;Disponível
CD0786;P01264;Verde;Em uso
CD0787;P00509;Azul;Bloqueado
CD0788;P00350;Verde;Disponível
CD0789;P01317;Verde;Disponível
CD0790;P01127;Verde;Bloqueado
CD0791;P00118;Verde;Bloqueado
CD0792;P01457;Amarelo;Disponível
CD0793;P00845;Azul;Disponível
CD0794;P00503;Azul;Disponível
CD0795;P00422;Azul;Bloqueado
CD0796;P00499;Verde;Disponível
CD0797;P00660;Verde;Bloqueado
CD0798;P00821;Verde;Disponível
CD0799;P01481;Vermelho;Disponível
CD0800;P01447;Amarelo;Disponível
CD0801;P00998;Vermelho;Em uso
CD0802;P00991;Azul;Em uso
CD0803;P00289;Amarelo;Disponível
CD0804;P00310;Verde;Bloqueado
CD0805;P00567;Azul;Em uso
CD0806;P00570;Verde;Em uso
CD0807;P00533;Verde;Em uso
CD0808;P01370;Vermelho;Bloqueado
CD0809;P01233;Azul;Disponível
CD0810;P01450;Vermelho;Em uso
CD0811;P00843;Vermelho;Bloqueado
CD0812;P01176;Vermelho;Disponível
CD0813;P00605;Vermelho;Disponível
CD0814;P00895;Vermelho;Em uso
CD0815;P00561;Amarelo;Em uso
CD0816;P00989;Verde;Bloqueado
CD0817;P00170;Azul;Bloqueado
CD0818;P00712;Amarelo;Em uso
CD0819;P01280;Verde;Bloqueado
CD0820;P01076;Vermelho;Bloqueado
CD0821;P01293;Verde;Em uso
CD0822;P00218;Verde;Bloqueado
CD0823;P01166;Vermelho;Disponível
CD0824;P01347;Vermelho;Bloqueado
CD0825;P00057;Verde;Em uso
CD0826;P01188;Azul;Em uso
CD0827;P00791;Amarelo;Disponível
CD0828;P01440;Verde;Bloqueado
CD0829;P01184;Verde;Bloqueado
CD0830;P01312;Amarelo;Bloqueado
CD0831;P00534;Verde;Disponível
CD0832;P00158;Vermelho;Em uso
CD0833;P01059;Azul;Bloqueado
CD0834;P00293;Azul;Disponível
CD0835;P00172;Azul;Em uso
CD0836;P01303;Vermelho;Em uso
CD0837;P00148;Amarelo;Bloqueado
CD0838;P00373;Verde;Disponível
CD0839;P01414;Azul;Em uso
CD0840;P00657;Amarelo;Bloqueado
CD0841;P01367;Azul;Em uso
CD0842;P00775;Vermelho;Bloqueado
CD0843;P01360;Azul;Bloqueado
CD0844;P00522;Azul;Bloqueado
CD0845;P01245;Verde;Bloqueado
CD0846;P01484;Azul;Disponível
CD0847;P00268;Verde;Bloqueado
CD0848;P00759;Verde;Em uso
CD0849;P00122;Vermelho;Bloqueado
CD0850;P00302;Azul;Em uso
CD0144;P00935;Amarelo;Disponível
CD0105;P00463;Amarelo;Em uso
CD0265;P00653;Azul;Disponível
;P00251;Vermelho;Em uso
