pedido_compra_id,data_pedido,fornecedor_id,unidade_id,material,quantidade_kg,custo_unitario,data_prevista,data_recebimento,status_qualidade,entrega_no_prazo,valor_compra
PC001844,2024-02-05,F019,U01,Silicone Base,209.9,45.23,2024-02-18,2024-02-19,Aprovado,False,9493.777
PC001845,2025-09-03,F016,U03,Aditivo,290.52,4.53,2025-09-07,2025-09-07,Aprovado,True,1316.0556
PC001846,2024-01-11,F012,U03,Pigmento,442.33,41.67,2024-02-01,2024-01-30,Aprovado,True,18431.8911
PC001847,2025-03-24,F011,U03,Isocianato,176.68,14.64,2025-03-29,2025-03-29,Aprovado,True,2586.5952
PC001848,2026-02-21,F015,U02,Silicone Base,87.17,29.91,2026-03-05,2026-03-06,Aprovado,False,2607.2547
PC001849,2026-04-25,F009,U03,Silicone Base,33.9,4.01,2026-05-16,2026-05-16,Aprovado,True,135.939
PC001850,2024-05-07,F020,U03,Carga Mineral,249.55,12.0,2024-05-30,2024-06-01,Aprovado,False,2994.6000000000004
PC001851,2026-07-25,F027,U01,Aditivo,48.82,36.42,2026-08-18,2026-08-19,Aprovado,False,1778.0244
PC001852,2025-01-30,F014,U03,Poliol,306.99,20.47,2025-02-22,2025-02-20,Aprovado,True,6284.0853
PC001853,2025-09-02,F011,U02,Carga Mineral,235.14,33.25,2025-09-06,2025-09-06,Aprovado,True,7818.405
PC001854,2024-12-24,F011,U03,Solvente,195.59,42.62,2025-01-01,2024-12-31,Aprovado,True,8336.0458
PC001855,2025-11-29,F005,U01,Embalagem,413.75,15.61,2025-12-17,2025-12-16,Aprovado,True,6458.6375
PC001856,2025-01-02,F014,U02,Isocianato,249.44,14.82,2025-01-11,2025-01-10,Aprovado,True,3696.7008
PC001857,2024-07-17,F012,U02,Poliol,146.49,9.37,2024-07-21,2024-07-19,Aprovado,True,1372.6113
PC001858,2025-05-11,F026,U01,Silicone Base,252.86,29.7,2025-05-24,2025-05-29,Aprovado,False,7509.942
PC001859,2026-04-09,F011,U03,Poliol,352.64,19.94,2026-04-14,2026-04-12,Aprovado,True,7031.6416
PC001860,2024-07-04,F013,U03,Pigmento,311.51,4.19,2024-07-27,2024-07-28,Aprovado,False,1305.2269000000001
PC001861,2024-09-01,F026,U02,Pigmento,976.13,24.63,2024-09-19,2024-09-19,Aprovado,True,24042.081899999997
PC001862,2025-03-14,F007,U01,Isocianato,106.3,39.08,2025-03-31,2025-03-31,Aprovado,True,4154.204
PC001863,2024-04-12,F027,U03,Embalagem,296.09,46.56,2024-05-05,2024-05-05,Aprovado,True,13785.9504
PC001864,2025-12-18,F002,U03,Silicone Base,390.42,24.33,2026-01-04,2026-01-03,Aprovado,True,9498.918599999999
PC001865,2025-05-04,F003,U01,Embalagem,431.22,18.67,2025-05-10,2025-05-10,Bloqueado,True,8050.877400000001
PC001866,2024-03-21,F008,U03,Solvente,641.34,11.86,2024-03-27,2024-03-27,Aprovado,True,7606.2924
PC001867,2026-04-30,F008,U03,Poliol,309.79,44.53,2026-05-22,2026-05-22,Aprovado,True,13794.9487
PC001868,2025-04-25,F029,U02,Poliol,123.26,13.15,2025-05-01,2025-04-29,Aprovado,True,1620.8690000000001
PC001869,2025-01-03,F024,U01,Embalagem,284.19,10.31,2025-01-23,2025-01-28,Aprovado,False,2929.9989
PC001870,2024-11-19,F001,U01,Isocianato,86.25,31.19,2024-12-11,2024-12-11,Aprovado,True,2690.1375000000003
PC001871,2025-08-13,F007,U02,Aditivo,127.66,4.17,2025-08-17,2025-08-16,Aprovado,True,532.3421999999999
PC001872,2025-03-07,F022,U02,Carga Mineral,322.1,18.44,2025-03-25,2025-03-24,Aprovado,True,5939.524000000001
PC001873,2026-07-12,F007,U01,Embalagem,280.14,29.82,2026-07-25,2026-07-26,Aprovado,False,8353.7748
PC001874,2024-09-06,F016,U01,Carga Mineral,257.15,47.78,2024-09-30,2024-10-05,Aprovado,False,12286.626999999999
PC001875,2024-08-10,F020,U03,Embalagem,115.7,47.81,2024-08-19,2024-08-19,Aprovado,True,5531.617
PC001876,2025-12-05,F011,U03,Pigmento,319.17,11.04,2025-12-10,2025-12-15,Aprovado,False,3523.6367999999998
PC001877,2025-05-16,F023,U01,Embalagem,223.26,3.88,2025-06-01,2025-05-31,Aprovado,True,866.2488
PC001878,2024-12-23,F019,U02,Aditivo,412.7,4.82,2025-01-07,2025-01-07,Aprovado,True,1989.2140000000002
PC001879,2024-06-29,F025,U01,Embalagem,239.8,31.71,2024-07-05,2024-07-07,Aprovado,False,7604.058000000001
PC001880,2024-06-26,F013,U03,Embalagem,611.41,8.48,2024-07-19,2024-07-20,Aprovado,False,5184.7568
PC001881,2026-01-03,F029,U03,Silicone Base,450.49,42.56,2026-01-07,2026-01-06,Aprovado,True,19172.8544
PC001882,2024-07-04,F030,U02,Embalagem,169.39,18.0,2024-07-25,2024-07-30,Aprovado,False,3049.0199999999995
PC001883,2025-09-10,F005,U01,Pigmento,634.11,20.19,2025-09-27,2025-09-26,Aprovado,True,12802.680900000001
PC001884,2026-01-25,F011,U02,Poliol,152.52,21.8,2026-02-07,2026-02-07,Aprovado,True,3324.936
PC001885,2024-01-10,F013,U03,Silicone Base,266.54,47.06,2024-01-30,2024-01-28,Aprovado,True,12543.372400000002
PC001886,2025-03-12,F019,U01,Isocianato,364.32,25.71,2025-03-31,2025-03-31,Aprovado,True,9366.6672
PC001887,2024-01-14,F009,U01,Embalagem,216.49,18.49,2024-01-23,2024-01-25,Aprovado,False,4002.9001
PC001888,2026-04-22,F014,U02,Isocianato,133.41,18.65,2026-05-12,2026-05-17,Aprovado,False,2488.0964999999997
PC001889,2026-05-27,F013,U01,Silicone Base,170.9,40.07,2026-06-17,2026-06-17,Aprovado,True,6847.963000000001
PC001890,2025-04-20,F027,U03,Aditivo,364.44,47.65,2025-05-02,2025-05-02,Aprovado,True,17365.566
PC001891,2025-06-24,F005,U02,Silicone Base,591.64,9.46,2025-07-05,2025-07-03,Aprovado,True,5596.914400000001
PC001892,2025-04-20,F003,U03,Aditivo,69.12,12.68,2025-05-06,2025-05-04,Aprovado,True,876.4416
PC001893,2025-09-25,F030,U03,Aditivo,538.31,23.85,2025-10-03,2025-10-02,Aprovado,True,12838.6935
PC001894,2025-11-25,F018,U01,Pigmento,185.47,26.97,2025-12-12,2025-12-12,Aprovado,True,5002.1259
PC001895,2024-01-22,F021,U01,Aditivo,495.44,15.99,2024-02-07,2024-02-12,Aprovado,False,7922.0856
PC001896,2024-04-03,F020,U02,Pigmento,543.99,6.45,2024-04-13,2024-04-15,Aprovado,False,3508.7355000000002
PC001897,2026-02-28,F028,U03,Isocianato,414.65,40.14,2026-03-10,2026-03-08,Aprovado,True,16644.051
PC001898,2025-06-22,F010,U02,Solvente,770.61,22.03,2025-06-26,2025-06-24,Aprovado,True,16976.5383
PC001899,2024-01-17,F006,U03,Pigmento,149.45,4.9,2024-02-02,2024-01-31,Aprovado,True,732.305
PC001900,2024-05-06,F016,U01,Pigmento,239.34,10.36,2024-05-30,2024-05-29,Aprovado,True,2479.5624
PC001901,2024-10-12,F009,U01,Isocianato,236.96,46.03,2024-10-21,2024-10-22,Aprovado,False,10907.2688
PC001902,2025-04-09,F029,U03,Pigmento,351.87,46.16,2025-04-23,2025-04-23,Aprovado,True,16242.3192
PC001903,2024-09-19,F017,U01,Solvente,118.85,6.7,2024-09-24,2024-09-25,Aprovado,False,796.295
PC001904,2025-12-04,F017,U02,Solvente,178.86,15.18,2025-12-14,2025-12-16,Aprovado,False,2715.0948000000003
PC001905,2025-06-29,F007,U03,Poliol,168.8,17.47,2025-07-23,2025-07-23,Aprovado,True,2948.936
PC001906,2025-03-25,F011,U03,Embalagem,90.91,41.18,2025-04-13,2025-04-13,Aprovado,True,3743.6738
PC001907,2024-01-08,F015,U01,Isocianato,263.22,23.86,2024-01-30,2024-01-30,Aprovado,True,6280.4292000000005
PC001908,2025-07-28,F025,U02,Embalagem,153.17,10.58,2025-08-08,2025-08-08,Aprovado,True,1620.5385999999999
PC001909,2026-07-06,F027,U01,Embalagem,392.84,19.85,2026-07-28,2026-07-30,Aprovado,False,7797.874
PC001910,2024-03-13,F030,U02,Pigmento,266.34,44.3,2024-03-17,2024-03-17,Aprovado,True,11798.861999999997
PC001911,2024-07-23,F003,U02,Pigmento,248.54,21.72,2024-08-12,2024-08-11,Aprovado,True,5398.288799999999
PC001912,2024-12-07,F015,U01,Aditivo,110.57,26.1,2024-12-12,2024-12-14,Aprovado,False,2885.877
PC001913,2025-07-30,F023,U02,Isocianato,258.58,42.24,2025-08-13,2025-08-13,Aprovado,True,10922.4192
PC001914,2026-02-12,F021,U02,Solvente,208.82,35.73,2026-03-03,2026-03-03,Aprovado,True,7461.138599999999
PC001915,2024-01-08,F017,U03,Carga Mineral,303.5,45.1,2024-01-18,2024-01-18,Aprovado,True,13687.85
PC001916,2024-10-22,F007,U03,Silicone Base,596.1,15.16,2024-10-31,2024-11-05,Aprovado,False,9036.876
PC001917,2024-08-27,F006,U03,Carga Mineral,158.44,5.93,2024-09-12,2024-09-12,Aprovado,True,939.5491999999999
PC001918,2024-02-20,F003,U03,Aditivo,87.29,14.65,2024-03-11,2024-03-12,Aprovado,False,1278.7985
PC001919,2024-11-14,F009,U02,Solvente,94.63,26.44,2024-11-18,2024-11-20,Aprovado,False,2502.0172
PC001920,2024-08-20,F013,U03,Poliol,297.42,19.03,2024-08-31,2024-08-31,Aprovado,True,5659.9026
PC001921,2026-02-22,F004,U01,Isocianato,317.29,25.25,2026-02-26,2026-02-26,Aprovado,True,8011.5725
PC001922,2025-05-01,F002,U03,Poliol,217.06,30.13,2025-05-18,2025-05-18,Aprovado,True,6540.0178
PC001923,2025-02-15,F019,U01,Poliol,849.03,38.61,2025-02-26,2025-03-03,Aprovado,False,32781.048299999995
PC001924,2025-08-14,F023,U03,Aditivo,105.45,43.62,2025-08-31,2025-09-02,Aprovado,False,4599.729
PC001925,2025-01-27,F023,U01,Pigmento,84.2,26.95,2025-02-05,2025-02-10,Aprovado,False,2269.19
PC001926,2024-11-21,F011,U02,Isocianato,339.27,46.0,2024-12-04,2024-12-09,Aprovado,False,15606.419999999998
PC001927,2024-11-03,F022,U03,Isocianato,82.07,45.43,2024-11-15,2024-11-16,Aprovado,False,3728.4401
PC001928,2024-09-25,F017,U01,Silicone Base,97.13,34.93,2024-09-29,2024-10-04,Aprovado,False,3392.7509
PC001929,2024-11-27,F012,U03,Isocianato,104.54,13.36,2024-12-10,2024-12-09,Aprovado,True,1396.6544000000001
PC001930,2026-03-14,F018,U01,Aditivo,50.2,42.44,2026-03-24,2026-03-22,Bloqueado,True,2130.488
PC001931,2024-05-17,F020,U01,Poliol,269.0,14.51,2024-06-01,2024-06-01,Aprovado,True,3903.19
PC001932,2024-12-20,F008,U03,Aditivo,167.06,20.44,2024-12-30,2024-12-30,Aprovado,True,3414.7064000000005
PC001933,2025-11-30,F010,U03,Isocianato,1971.54,33.25,2025-12-06,2025-12-06,Aprovado,True,65553.705
PC001934,2026-02-05,F015,U02,Solvente,136.99,28.29,2026-02-24,2026-02-24,Aprovado,True,3875.4471000000003
PC001935,2025-08-26,F014,U03,Pigmento,157.38,27.94,2025-09-14,2025-09-12,Aprovado,True,4397.1972000000005
PC001936,2025-11-19,F009,U03,Aditivo,804.59,9.37,2025-11-25,2025-11-25,Aprovado,True,7539.0082999999995
PC001937,2024-12-02,F027,U02,Silicone Base,295.06,23.17,2024-12-20,2024-12-18,Aprovado,True,6836.5402
PC001938,2024-05-12,F021,U02,Poliol,1138.72,12.79,2024-05-20,2024-05-25,Aprovado,False,14564.228799999999
PC001939,2025-04-12,F002,U02,Pigmento,86.01,23.6,2025-04-24,2025-04-24,Aprovado,True,2029.8360000000002
PC001940,2026-04-07,F011,U03,Aditivo,418.06,33.57,2026-04-24,2026-04-24,Aprovado,True,14034.2742
PC001941,2024-09-18,F001,U02,Solvente,312.19,31.51,2024-09-22,2024-09-23,Aprovado,False,9837.1069
PC001942,2024-05-23,F003,U01,Pigmento,916.73,39.13,2024-05-28,2024-05-28,Aprovado,True,35871.64490000001
PC001943,2025-09-24,F030,U01,Embalagem,838.16,8.26,2025-10-05,2025-10-05,Aprovado,True,6923.201599999999
PC001944,2025-01-23,F002,U01,Poliol,235.73,34.25,2025-02-14,2025-02-14,Aprovado,True,8073.7525
PC001945,2025-11-21,F009,U01,Poliol,360.24,32.07,2025-12-15,2025-12-14,Aprovado,True,11552.8968
PC001946,2025-07-15,F010,U03,Silicone Base,364.09,10.69,2025-07-28,2025-08-02,Aprovado,False,3892.1220999999996
PC001947,2024-01-28,F019,U01,Embalagem,31.15,19.91,2024-02-18,2024-02-17,Aprovado,True,620.1965
PC001948,2025-10-07,F007,U01,Pigmento,155.44,44.67,2025-10-15,2025-10-15,Aprovado,True,6943.504800000001
PC001949,2025-08-29,F001,U02,Carga Mineral,457.13,9.05,2025-09-08,2025-09-08,Aprovado,True,4137.0265
PC001950,2026-04-09,F025,U03,Solvente,248.04,35.88,2026-04-15,2026-04-14,Aprovado,True,8899.6752
PC001951,2024-11-09,F018,U03,Poliol,158.85,13.01,2024-11-23,2024-11-25,Aprovado,False,2066.6385
PC001952,2024-10-17,F015,U02,Solvente,536.22,36.42,2024-10-27,2024-11-01,Aprovado,False,19529.132400000002
PC001953,2024-01-15,F011,U03,Solvente,221.43,22.63,2024-01-19,2024-01-20,Aprovado,False,5010.9609
PC001954,2025-05-04,F029,U01,Carga Mineral,466.34,5.49,2025-05-10,2025-05-08,Aprovado,True,2560.2066
PC001955,2024-12-27,F030,U03,Isocianato,72.54,6.77,2025-01-01,2025-01-06,Aprovado,False,491.0958
PC001956,2025-12-25,F020,U01,Isocianato,552.9,42.46,2025-12-31,2025-12-31,Aprovado,True,23476.134
PC001957,2025-03-26,F005,U03,Embalagem,181.26,18.57,2025-04-07,2025-04-08,Aprovado,False,3365.9982
PC001958,2024-12-04,F011,U03,Embalagem,320.77,8.08,2024-12-23,2024-12-23,Aprovado,True,2591.8215999999998
PC001959,2025-10-15,F004,U03,Pigmento,497.62,26.22,2025-10-31,2025-11-01,Aprovado,False,13047.5964
PC001960,2026-01-01,F010,U01,Carga Mineral,240.45,42.14,2026-01-15,2026-01-20,Aprovado,False,10132.563
PC001961,2025-01-21,F023,U01,Silicone Base,191.86,37.88,2025-02-11,2025-02-11,Aprovado,True,7267.656800000001
PC001962,2025-07-19,F012,U02,Isocianato,145.01,43.68,2025-08-06,2025-08-06,Aprovado,True,6334.0368
PC001963,2025-09-03,F013,U02,Isocianato,74.28,36.32,2025-09-12,2025-09-14,Aprovado,False,2697.8496
PC001964,2024-05-29,F007,U02,Embalagem,157.02,45.35,2024-06-18,2024-06-17,Aprovado,True,7120.857000000001
PC001965,2024-11-23,F003,U02,Aditivo,495.35,29.29,2024-12-04,2024-12-04,Aprovado,True,14508.8015
PC001966,2024-10-30,F001,U01,Carga Mineral,700.22,36.58,2024-11-15,2024-11-20,Aprovado,False,25614.047599999998
PC001967,2025-10-11,F006,U02,Pigmento,125.5,16.42,2025-10-30,2025-11-01,Aprovado,False,2060.71
PC001968,2026-06-03,F026,U02,Embalagem,131.04,18.29,2026-06-24,2026-06-23,Aprovado,True,2396.7216
PC001969,2024-11-12,F013,U01,Pigmento,202.51,24.39,2024-11-23,2024-11-25,Bloqueado,False,4939.2189
PC001970,2025-02-13,F001,U03,Carga Mineral,467.98,34.06,2025-02-28,2025-03-01,Aprovado,False,15939.3988
PC001971,2025-03-07,F027,U03,Pigmento,491.29,43.08,2025-03-18,2025-03-18,Aprovado,True,21164.7732
PC001972,2024-04-16,F028,U03,Solvente,637.44,32.77,2024-05-04,2024-05-05,Aprovado,False,20888.908800000005
PC001973,2026-07-09,F020,U01,Solvente,57.78,36.42,2026-07-25,2026-07-27,Aprovado,False,2104.3476
PC001974,2024-03-27,F014,U03,Carga Mineral,215.57,12.63,2024-04-12,2024-04-14,Aprovado,False,2722.6491
PC001975,2025-06-09,F010,U01,Silicone Base,233.1,29.34,2025-06-19,2025-06-19,Aprovado,True,6839.1539999999995
PC001976,2025-09-29,F018,U02,Isocianato,331.52,35.13,2025-10-16,2025-10-18,Aprovado,False,11646.2976
PC001977,2025-01-26,F013,U01,Solvente,136.15,10.44,2025-02-02,2025-01-31,Aprovado,True,1421.406
PC001978,2025-08-17,F004,U03,Poliol,597.09,46.24,2025-08-31,2025-08-31,Aprovado,True,27609.441600000002
PC001979,2026-06-19,F017,U01,Solvente,158.23,44.41,2026-07-05,2026-07-06,Aprovado,False,7026.994299999999
PC001980,2025-05-08,F020,U01,Pigmento,826.43,15.62,2025-05-30,2025-06-04,Aprovado,False,12908.836599999999
PC001981,2024-09-06,F008,U03,Pigmento,373.77,15.68,2024-09-29,2024-10-04,Aprovado,False,5860.7136
PC001982,2026-05-25,F023,U01,Poliol,85.49,41.67,2026-06-18,2026-06-23,Reprovado,False,3562.3683
PC001983,2024-06-24,F008,U01,Poliol,162.47,7.91,2024-07-16,2024-07-15,Aprovado,True,1285.1377
PC001984,2025-01-21,F017,U01,Embalagem,198.43,44.6,2025-01-26,2025-01-25,Aprovado,True,8849.978000000001
PC001985,2025-08-29,F024,U02,Poliol,139.46,20.35,2025-09-22,2025-09-24,Aprovado,False,2838.0110000000004
PC001986,2024-11-08,F019,U03,Aditivo,153.67,9.81,2024-11-13,2024-11-12,Aprovado,True,1507.5027
PC001987,2025-03-11,F020,U02,Carga Mineral,134.89,38.66,2025-03-20,2025-03-22,Aprovado,False,5214.847399999999
PC001988,2025-12-24,F001,U03,Solvente,298.06,16.72,2026-01-16,2026-01-16,Aprovado,True,4983.5632
PC001989,2025-01-05,F020,U02,Silicone Base,210.33,5.28,2025-01-11,2025-01-16,Aprovado,False,1110.5424
PC001990,2025-12-19,F026,U01,Solvente,167.16,17.64,2026-01-12,2026-01-14,Aprovado,False,2948.7024
PC001991,2025-06-21,F009,U02,Silicone Base,294.43,4.43,2025-06-28,2025-06-28,Aprovado,True,1304.3248999999998
PC001992,2024-05-20,F006,U03,Aditivo,390.67,25.58,2024-06-06,2024-06-06,Aprovado,True,9993.3386
PC001993,2025-07-17,F017,U02,Isocianato,183.8,25.55,2025-07-26,2025-07-28,Aprovado,False,4696.09
PC001994,2026-05-22,F020,U03,Solvente,326.48,38.66,2026-05-31,2026-05-31,Aprovado,True,12621.7168
PC001995,2024-10-10,F022,U03,Poliol,183.63,43.36,2024-10-17,2024-10-16,Aprovado,True,7962.1968
PC001996,2024-08-02,F018,U01,Solvente,393.77,34.25,2024-08-20,2024-08-18,Aprovado,True,13486.6225
PC001997,2026-06-16,F024,U02,Aditivo,99.97,25.92,2026-07-07,2026-07-09,Aprovado,False,2591.2224
PC001998,2026-03-05,F019,U02,Carga Mineral,238.68,32.49,2026-03-24,2026-03-23,Aprovado,True,7754.713200000001
PC001999,2026-03-26,F010,U01,Isocianato,285.19,8.25,2026-04-17,2026-04-19,Aprovado,False,2352.8175
PC002000,2026-02-06,F009,U03,Silicone Base,166.35,25.77,2026-02-28,2026-02-28,Aprovado,True,4286.8395
PC002001,2024-08-18,F023,U03,Solvente,729.59,16.34,2024-08-24,2024-08-26,Aprovado,False,11921.500600000001
PC002002,2025-11-22,F020,U03,Pigmento,177.16,6.74,2025-12-09,2025-12-08,Aprovado,True,1194.0584000000001
PC002003,2025-07-31,F003,U01,Embalagem,164.08,36.81,2025-08-23,2025-08-25,Aprovado,False,6039.784800000001
PC002004,2025-01-19,F020,U02,Poliol,240.93,16.34,2025-02-02,2025-02-02,Aprovado,True,3936.7962
PC002005,2026-05-27,F003,U03,Solvente,171.17,40.13,2026-06-03,2026-06-01,Aprovado,True,6869.0521
PC002006,2024-02-28,F007,U03,Carga Mineral,514.78,21.29,2024-03-09,2024-03-09,Aprovado,True,10959.6662
PC002007,2025-05-14,F027,U03,Solvente,187.32,7.13,2025-05-30,2025-06-01,Aprovado,False,1335.5916
PC002008,2026-04-22,F023,U01,Isocianato,379.14,15.52,2026-05-13,2026-05-15,Aprovado,False,5884.252799999999
PC002009,2026-07-05,F018,U02,Embalagem,42.84,31.69,2026-07-26,2026-07-28,Aprovado,False,1357.5996000000002
PC002010,2025-05-04,F011,U03,Silicone Base,318.88,28.33,2025-05-08,2025-05-08,Aprovado,True,9033.8704
PC002011,2024-03-03,F007,U02,Poliol,197.64,18.34,2024-03-24,2024-03-25,Aprovado,False,3624.7176
PC002012,2024-04-19,F009,U01,Embalagem,191.3,11.05,2024-04-30,2024-04-30,Aprovado,True,2113.8650000000002
PC002013,2024-08-07,F015,U03,Silicone Base,325.0,28.38,2024-08-25,2024-08-25,Aprovado,True,9223.5
PC002014,2025-05-24,F002,U01,Silicone Base,381.92,18.45,2025-06-17,2025-06-17,Aprovado,True,7046.424
PC002015,2025-06-02,F014,U01,Carga Mineral,962.7,45.97,2025-06-07,2025-06-06,Aprovado,True,44255.319
PC002016,2024-10-30,F006,U02,Embalagem,125.2,33.18,2024-11-16,2024-11-16,Aprovado,True,4154.136
PC002017,2025-12-01,F027,U01,Isocianato,265.76,24.83,2025-12-12,2025-12-11,Aprovado,True,6598.8207999999995
PC002018,2026-04-13,F027,U03,Carga Mineral,238.42,11.28,2026-04-28,2026-04-29,Aprovado,False,2689.3776
PC002019,2024-12-10,F003,U01,Solvente,400.17,43.84,2025-01-01,2025-01-01,Aprovado,True,17543.452800000003
PC002020,2024-10-13,F027,U02,Poliol,543.65,42.45,2024-10-24,2024-10-24,Aprovado,True,23077.9425
PC002021,2024-06-28,F017,U02,Pigmento,281.49,21.41,2024-07-06,2024-07-11,Aprovado,False,6026.7009
PC002022,2024-06-13,F030,U01,Solvente,332.54,21.6,2024-06-22,2024-06-22,Aprovado,True,7182.8640000000005
PC002023,2025-03-19,F028,U02,Silicone Base,192.68,10.04,2025-03-26,2025-03-28,Aprovado,False,1934.5072
PC002024,2024-01-16,F001,U03,Isocianato,173.95,40.84,2024-02-06,2024-02-07,Aprovado,False,7104.118
PC002025,2024-09-20,F023,U03,Solvente,213.52,8.01,2024-10-03,2024-10-08,Aprovado,False,1710.2952
PC002026,2025-09-17,F010,U01,Isocianato,375.85,47.83,2025-10-10,2025-10-15,Aprovado,False,17976.9055
PC002027,2026-05-19,F011,U02,Poliol,153.02,35.24,2026-05-30,2026-05-28,Aprovado,True,5392.424800000001
PC002028,2024-12-12,F004,U01,Embalagem,225.15,22.08,2024-12-30,2025-01-01,Aprovado,False,4971.312
PC002029,2026-04-17,F015,U02,Poliol,183.29,34.78,2026-04-27,2026-04-28,Aprovado,False,6374.8261999999995
PC002030,2024-01-16,F016,U01,Silicone Base,95.31,32.59,2024-01-26,2024-01-28,Aprovado,False,3106.1529000000005
PC002031,2024-11-01,F003,U03,Aditivo,80.07,28.5,2024-11-06,2024-11-06,Aprovado,True,2281.995
PC002032,2024-07-18,F027,U01,Aditivo,372.81,10.3,2024-07-24,2024-07-24,Aprovado,True,3839.943
PC002033,2024-01-25,F023,U02,Isocianato,87.31,42.37,2024-02-04,2024-02-02,Aprovado,True,3699.3246999999997
PC002034,2026-03-22,F014,U03,Solvente,990.59,22.06,2026-03-26,2026-03-25,Bloqueado,True,21852.415399999998
PC002035,2026-03-05,F022,U02,Poliol,218.18,41.0,2026-03-26,2026-03-26,Aprovado,True,8945.380000000001
PC002036,2024-07-10,F019,U02,Pigmento,359.15,13.22,2024-07-18,2024-07-20,Aprovado,False,4747.963
PC002037,2024-08-11,F003,U01,Silicone Base,177.17,33.71,2024-09-04,2024-09-02,Aprovado,True,5972.4007
PC002038,2024-11-06,F023,U01,Carga Mineral,816.11,29.74,2024-11-20,2024-11-25,Bloqueado,False,24271.111399999998
PC002039,2026-06-11,F011,U01,Solvente,281.17,35.15,2026-06-25,2026-06-27,Aprovado,False,9883.1255
PC002040,2024-12-09,F029,U03,Carga Mineral,225.05,20.27,2024-12-19,2024-12-19,Aprovado,True,4561.7635
PC002041,2026-02-16,F018,U02,Aditivo,429.15,39.41,2026-02-23,2026-02-28,Aprovado,False,16912.801499999998
PC002042,2024-12-11,F025,U02,Isocianato,405.83,5.57,2024-12-22,2024-12-27,Aprovado,False,2260.4731
PC002043,2026-01-07,F015,U02,Embalagem,976.14,17.3,2026-01-18,2026-01-18,Aprovado,True,16887.222
PC002044,2026-04-09,F029,U01,Isocianato,487.62,26.92,2026-04-22,2026-04-22,Bloqueado,True,13126.7304
PC002045,2024-10-05,F017,U01,Aditivo,532.73,23.97,2024-10-11,2024-10-09,Reprovado,True,12769.5381
PC002046,2025-02-21,F004,U03,Pigmento,449.27,26.54,2025-03-05,2025-03-03,Aprovado,True,11923.6258
PC002047,2025-10-24,F029,U02,Aditivo,530.85,41.0,2025-11-14,2025-11-13,Aprovado,True,21764.850000000002
PC002048,2024-12-12,F010,U01,Solvente,140.4,38.67,2024-12-30,2024-12-28,Aprovado,True,5429.268
PC002049,2024-09-07,F020,U01,Aditivo,383.45,42.63,2024-09-23,2024-09-23,Aprovado,True,16346.4735
PC002050,2025-10-04,F002,U02,Silicone Base,186.7,39.49,2025-10-28,2025-11-02,Aprovado,False,7372.783
PC002051,2025-09-18,F003,U02,Aditivo,478.81,38.59,2025-09-24,2025-09-26,Aprovado,False,18477.2779
PC002052,2024-06-23,F027,U02,Carga Mineral,140.97,27.45,2024-06-28,2024-06-30,Aprovado,False,3869.6265
PC002053,2026-01-15,F015,U01,Isocianato,844.07,40.7,2026-02-07,2026-02-06,Aprovado,True,34353.649000000005
PC002054,2024-05-09,F007,U02,Poliol,348.22,19.22,2024-06-01,2024-06-02,Aprovado,False,6692.7884
PC002055,2025-10-12,F023,U01,Poliol,448.82,45.13,2025-10-24,2025-10-26,Aprovado,False,20255.246600000002
PC002056,2024-05-14,F010,U03,Pigmento,194.4,43.48,2024-06-01,2024-05-31,Aprovado,True,8452.511999999999
PC002057,2026-07-30,F011,U01,Embalagem,95.23,6.6,2026-08-21,2026-08-22,Aprovado,False,628.518
PC002058,2026-07-24,F009,U01,Poliol,62.1,43.66,2026-07-29,2026-07-27,Aprovado,True,2711.286
PC002059,2026-03-18,F027,U02,Pigmento,166.81,12.83,2026-03-28,2026-03-28,Aprovado,True,2140.1723
PC002060,2024-06-27,F018,U01,Aditivo,435.08,14.27,2024-07-03,2024-07-08,Aprovado,False,6208.5916
PC002061,2024-05-29,F010,U01,Silicone Base,392.14,10.09,2024-06-21,2024-06-23,Aprovado,False,3956.6926
PC002062,2025-05-24,F002,U01,Poliol,54.75,10.86,2025-06-13,2025-06-15,Aprovado,False,594.5849999999999
PC002063,2025-06-03,F007,U02,Aditivo,337.65,29.64,2025-06-16,2025-06-14,Aprovado,True,10007.946
PC002064,2026-05-27,F011,U03,Solvente,286.4,21.96,2026-06-02,2026-06-02,Aprovado,True,6289.344
PC002065,2025-10-06,F019,U01,Embalagem,365.89,13.39,2025-10-18,2025-10-18,Aprovado,True,4899.2671
PC002066,2024-07-13,F001,U01,Poliol,342.31,21.25,2024-07-30,2024-07-30,Aprovado,True,7274.0875
PC002067,2024-01-19,F030,U02,Poliol,167.92,22.75,2024-02-07,2024-02-07,Aprovado,True,3820.18
PC002068,2025-05-04,F021,U01,Carga Mineral,527.03,46.25,2025-05-23,2025-05-24,Aprovado,False,24375.137499999997
PC002069,2024-11-01,F004,U01,Poliol,63.44,17.04,2024-11-24,2024-11-26,Aprovado,False,1081.0176
PC002070,2024-01-22,F022,U01,Solvente,326.34,14.91,2024-01-30,2024-01-30,Aprovado,True,4865.729399999999
PC002071,2024-08-11,F008,U03,Solvente,329.03,22.48,2024-08-15,2024-08-14,Aprovado,True,7396.5944
PC002072,2025-05-25,F013,U01,Poliol,345.13,41.41,2025-06-12,2025-06-11,Aprovado,True,14291.833299999998
