medicao_id,calibracao_id,ponto,erro,tolerancia
ME02352,CA03758,50%,-0.0458,0.201
ME02353,CA04551,100%,0.2329,0.315
ME02354,CA05341,75%,-0.1776,0.241
ME02355,CA02418,100%,-0.0088,0.149
ME02356,CA02042,100%,0.0,0.418
ME02357,CA05270,50%,-0.2776,0.262
ME02358,CA00940,25%,0.0346,0.176
ME02359,CA04709,75%,0.0414,0.388
ME02360,CA04624,50%,-0.1397,0.49
ME02361,CA01103,100%,0.1047,0.443
ME02362,CA04564,25%,-0.2423,0.168
ME02363,CA01714,75%,-0.3013,0.412
ME02364,CA00210,100%,0.0336,0.348
ME02365,CA03862,25%,-0.0038,0.259
ME02366,CA02840,25%,0.0364,0.118
ME02367,CA00386,75%,-0.109,0.102
ME02368,CA01427,100%,0.2521,0.41
ME02369,CA01833,75%,-0.2629,0.189
ME02370,CA01065,50%,-0.0214,0.133
ME02371,CA03245,100%,-0.2234,0.369
ME02372,CA00149,75%,0.3812,0.405
ME02373,CA03866,100%,0.3193,0.231
ME02374,CA02254,50%,-0.1289,0.366
ME02375,CA02842,100%,0.3751,0.346
ME02376,CA00565,75%,0.2354,0.18
ME02377,CA05088,100%,0.0231,0.474
ME02378,CA01864,75%,-0.3107,0.326
ME02379,CA02491,50%,-0.079,0.452
ME02380,CA03933,75%,0.0054,0.116
ME02381,CA00407,50%,-0.3003,0.279
ME02382,CA02300,75%,0.0919,0.319
ME02383,CA04868,75%,-0.1284,0.243
ME02384,CA01119,100%,-0.2013,0.353
ME02385,CA06635,50%,-0.2855,0.192
ME02386,CA02206,75%,0.1038,0.441
ME02387,CA00061,50%,-0.1954,0.391
ME02388,CA05432,50%,-0.1997,0.469
ME02389,CA01649,50%,0.3175,0.484
ME02390,CA07056,75%,0.2296,0.449
ME02391,CA02388,75%,-0.0247,0.485
ME02392,CA02037,100%,-0.0708,0.129
ME02393,CA01957,25%,-0.1336,0.302
ME02394,CA00453,50%,-0.1348,0.22
ME02395,CA01429,75%,0.1729,0.264
ME02396,CA03240,75%,0.077,0.153
ME02397,CA00556,25%,-0.1434,0.417
ME02398,CA03666,50%,0.0859,0.233
ME02399,CA06699,25%,0.0048,0.332
ME02400,CA04994,50%,0.1745,0.186
ME02401,CA03033,75%,-0.1399,0.384
ME02402,CA06029,100%,-0.1379,0.345
ME02403,CA00307,50%,-0.2996,0.475
ME02404,CA01041,100%,-0.1575,0.312
ME02405,CA01849,25%,0.1067,0.129
ME02406,CA06826,75%,0.2001,0.183
ME02407,CA02805,50%,-0.0734,0.222
ME02408,CA04941,100%,0.1275,0.225
ME02409,CA02887,75%,-0.0263,0.349
ME02410,CA06901,100%,0.3684,0.247
ME02411,CA01971,75%,-0.5175,0.233
ME02412,CA05071,100%,-0.1415,0.39
ME02413,CA02253,100%,0.1036,0.241
ME02414,CA07033,25%,-0.1916,0.117
ME02415,CA02903,50%,-0.3194,0.414
ME02416,CA03039,50%,-0.107,0.14
ME02417,CA07173,25%,-0.2755,0.245
ME02418,CA06046,75%,-0.037,0.376
ME02419,CA01484,25%,-0.0499,0.186
ME02420,CA00102,25%,-0.1467,0.468
ME02421,CA03001,100%,0.0804,0.445
ME02422,CA01343,25%,-0.1588,0.324
ME02423,CA01798,25%,0.0033,0.116
ME02424,CA03229,25%,0.1267,0.225
ME02425,CA01994,50%,-0.0205,0.409
ME02426,CA06222,75%,-0.1447,0.18
ME02427,CA04998,50%,-0.0833,0.127
ME02428,CA02992,50%,-0.0649,0.45
ME02429,CA06408,50%,0.2516,0.365
ME02430,CA04922,75%,-0.2077,0.487
ME02431,CA06927,100%,0.0357,0.425
ME02432,CA06151,100%,0.0071,0.419
ME02433,CA06550,50%,0.0676,0.394
ME02434,CA04137,75%,0.1585,0.219
ME02435,CA06288,50%,0.039,0.45
ME02436,CA00964,25%,0.1522,0.103
ME02437,CA05837,25%,0.1607,0.456
ME02438,CA06767,75%,0.1696,0.467
ME02439,CA07190,75%,-0.2527,0.488
ME02440,CA05426,50%,-0.0299,0.212
ME02441,CA06164,25%,-0.3418,0.225
ME02442,CA00075,50%,0.1078,0.173
ME02443,CA06979,100%,0.2266,0.105
ME02444,CA03637,100%,-0.2245,0.318
ME02445,CA04495,100%,-0.0456,0.199
ME02446,CA02170,50%,-0.0651,0.366
ME02447,CA05776,100%,0.0861,0.435
ME02448,CA01720,25%,0.0664,0.492
ME02449,CA06479,100%,-0.2371,0.208
ME02450,CA05107,100%,0.0021,0.209
ME02451,CA04684,25%,0.1234,0.317
ME02452,CA03688,100%,0.3925,0.436
ME02453,CA05262,75%,0.2382,0.21
ME02454,CA03411,25%,0.1777,0.179
ME02455,CA07149,25%,0.2273,0.137
ME02456,CA02857,25%,0.1621,0.476
ME02457,CA02738,50%,0.2014,0.368
ME02458,CA04325,25%,0.2691,0.378
ME02459,CA02362,25%,-0.2768,0.48
ME02460,CA03266,50%,-0.0161,0.185
ME02461,CA00387,100%,-0.1233,0.456
ME02462,CA03470,100%,-0.2308,0.162
ME02463,CA04687,25%,0.0809,0.299
ME02464,CA00402,75%,-0.0332,0.269
ME02465,CA01514,25%,-0.053,0.301
ME02466,CA00941,25%,0.2507,0.445
ME02467,CA06957,75%,0.1108,0.209
ME02468,CA06702,100%,-0.1761,0.414
ME02469,CA00588,50%,0.0522,0.413
ME02470,CA00944,100%,-0.1008,0.431
ME02471,CA03610,75%,-0.2523,0.216
ME02472,CA01436,100%,-0.0568,0.354
ME02473,CA06585,75%,-0.2147,0.479
ME02474,CA01206,25%,0.102,0.364
ME02475,CA04352,50%,0.1859,0.277
ME02476,CA07033,100%,-0.2528,0.412
ME02477,CA00462,75%,-0.202,0.249
ME02478,CA00429,25%,-0.3337,0.401
ME02479,CA01471,75%,0.1147,0.131
ME02480,CA06395,25%,0.0094,0.305
ME02481,CA04718,100%,-0.1261,0.482
ME02482,CA03656,100%,-0.0062,0.293
ME02483,CA02738,75%,-0.3968,0.244
ME02484,CA05223,100%,0.0515,0.474
ME02485,CA05560,100%,0.0392,0.199
ME02486,CA03962,75%,-0.005,0.282
ME02487,CA02663,25%,0.1392,0.242
ME02488,CA00877,75%,0.1022,0.352
ME02489,CA01956,100%,0.0586,0.443
ME02490,CA02700,25%,0.2427,0.152
ME02491,CA04890,100%,0.1107,0.252
ME02492,CA03537,25%,-0.0483,0.107
ME02493,CA06025,25%,0.1901,0.223
ME02494,CA04479,50%,0.0074,0.38
ME02495,CA03756,50%,0.2081,0.11
ME02496,CA03314,100%,0.272,0.375
ME02497,CA04626,100%,-0.0107,0.237
ME02498,CA01683,75%,0.0869,0.238
ME02499,CA00531,100%,0.0809,0.162
ME02500,CA00563,75%,0.0859,0.229
ME02501,CA02664,100%,0.0657,0.426
ME02502,CA04336,25%,0.1562,0.427
ME02503,CA05569,75%,-0.195,0.413
ME02504,CA05069,50%,0.4243,0.425
ME02505,CA03829,25%,0.3926,0.379
ME02506,CA02426,25%,-0.177,0.207
ME02507,CA05384,75%,0.2943,0.405
ME02508,CA06759,50%,0.1206,0.481
ME02509,CA00468,100%,0.0339,0.101
ME02510,CA00765,50%,0.0362,0.361
ME02511,CA00787,50%,-0.1984,0.312
ME02512,CA06655,50%,-0.141,0.438
ME02513,CA04635,100%,0.0174,0.44
ME02514,CA00543,75%,-0.0831,0.187
ME02515,CA02539,75%,0.115,0.444
ME02516,CA01898,50%,0.1314,0.135
ME02517,CA01467,75%,0.3605,0.22
ME02518,CA03112,50%,-0.2793,0.477
ME02519,CA05854,25%,0.3146,0.15
ME02520,CA06937,50%,0.2383,0.193
ME02521,CA04943,25%,-0.0293,0.15
ME02522,CA06367,50%,-0.251,0.154
ME02523,CA01910,25%,-0.0455,0.196
ME02524,CA04528,25%,-0.1275,0.189
ME02525,CA05190,75%,0.1158,0.117
ME02526,CA00242,75%,-0.0111,0.334
ME02527,CA03587,75%,-0.0966,0.233
ME02528,CA02992,25%,0.5064,0.253
ME02529,CA02079,50%,-0.0784,0.263
ME02530,CA02295,75%,-0.0574,0.233
ME02531,CA02165,100%,-0.0116,0.1
ME02532,CA03400,75%,-0.1099,0.174
ME02533,CA06221,50%,0.0814,0.123
ME02534,CA04139,25%,-0.1189,0.462
ME02535,CA05901,100%,-0.0005,0.41
ME02536,CA06450,50%,0.2377,0.398
ME02537,CA06787,25%,-0.0695,0.222
ME02538,CA02185,25%,0.4583,0.46
ME02539,CA01657,100%,0.0606,0.405
ME02540,CA01661,25%,-0.2711,0.304
ME02541,CA02160,25%,-0.155,0.269
ME02542,CA02414,75%,0.071,0.262
ME02543,CA03885,75%,0.0354,0.174
ME02544,CA06705,75%,-0.2262,0.208
ME02545,CA00651,100%,-0.1006,0.265
ME02546,CA06618,75%,0.2039,0.215
ME02547,CA06968,75%,0.0595,0.213
ME02548,CA04114,50%,0.2668,0.129
ME02549,CA02164,25%,0.0161,0.208
ME02550,CA04226,100%,-0.1609,0.151
ME02551,CA02538,25%,0.1804,0.109
ME02552,CA03272,75%,-0.1134,0.474
ME02553,CA03483,25%,-0.0599,0.44
ME02554,CA07055,50%,-0.0121,0.19
ME02555,CA02193,100%,-0.0406,0.301
ME02556,CA02551,75%,0.1455,0.212
ME02557,CA01302,50%,-0.1925,0.245
ME02558,CA04397,100%,-0.0323,0.483
ME02559,CA02350,50%,0.2985,0.35
ME02560,CA04574,25%,-0.0696,0.498
ME02561,CA06235,50%,-0.0804,0.29
ME02562,CA04855,50%,-0.081,0.171
ME02563,CA04998,50%,-0.2657,0.458
ME02564,CA06127,100%,-0.0151,0.39
ME02565,CA00333,75%,0.0392,0.239
ME02566,CA03583,75%,0.0702,0.117
ME02567,CA05706,75%,-0.0744,0.381
ME02568,CA07153,100%,-0.0073,0.327
ME02569,CA02971,50%,0.0888,0.163
ME02570,CA01624,25%,0.2575,0.329
ME02571,CA04997,100%,0.1013,0.209
ME02572,CA02100,100%,-0.0791,0.112
ME02573,CA00166,50%,0.2686,0.124
ME02574,CA07143,75%,-0.1112,0.132
ME02575,CA03412,25%,-0.1742,0.313
ME02576,CA04265,75%,-0.0541,0.155
ME02577,CA01359,75%,0.1498,0.396
ME02578,CA04859,100%,0.2538,0.159
ME02579,CA05257,100%,0.0179,0.28
ME02580,CA06489,25%,-0.1446,0.368
ME02581,CA07107,100%,-0.1322,0.494
ME02582,CA07114,100%,0.2824,0.15
ME02583,CA03410,50%,-0.0553,0.489
ME02584,CA06527,100%,-0.4026,0.263
ME02585,CA04583,50%,-0.027,0.191
ME02586,CA01525,25%,0.0916,0.391
ME02587,CA02837,50%,0.0366,0.39
ME02588,CA00109,100%,0.1651,0.435
ME02589,CA03320,75%,0.0317,0.367
ME02590,CA06455,50%,0.2591,0.499
ME02591,CA04898,50%,0.1605,0.377
ME02592,CA01820,100%,-0.0791,0.224
ME02593,CA02916,25%,-0.0089,0.32
ME02594,CA05079,25%,-0.0634,0.427
ME02595,CA00242,25%,-0.0656,0.387
ME02596,CA01727,50%,0.1901,0.347
ME02597,CA01792,50%,-0.0641,0.324
ME02598,CA03596,50%,-0.0975,0.256
ME02599,CA04584,50%,0.0221,0.5
ME02600,CA00132,75%,-0.2995,0.386
ME02601,CA05218,75%,-0.2085,0.276
ME02602,CA04943,25%,-0.2265,0.257
ME02603,CA05687,100%,0.1654,0.434
ME02604,CA02745,50%,-0.068,0.36
ME02605,CA06529,25%,0.1425,0.415
ME02606,CA06895,75%,-0.1477,0.457
ME02607,CA06906,75%,0.2908,0.464
ME02608,CA00036,50%,-0.0816,0.163
ME02609,CA03470,100%,0.2222,0.209
ME02610,CA01973,100%,-0.1812,0.368
ME02611,CA04039,25%,-0.0778,0.28
ME02612,CA05162,50%,-0.0821,0.409
ME02613,CA03185,100%,-0.0756,0.222
ME02614,CA06029,100%,0.0007,0.324
ME02615,CA05357,100%,-0.0936,0.387
ME02616,CA04196,50%,0.3911,0.114
ME02617,CA01580,25%,0.005,0.459
ME02618,CA01396,50%,-0.0031,0.48
ME02619,CA00421,50%,0.0276,0.387
ME02620,CA05976,25%,0.2135,0.423
ME02621,CA03274,50%,-0.159,0.404
ME02622,CA01496,75%,-0.0481,0.476
ME02623,CA06147,50%,0.2192,0.226
ME02624,CA04468,100%,0.4086,0.214
ME02625,CA02401,25%,0.0372,0.498
ME02626,CA00413,100%,0.0254,0.383
ME02627,CA06927,50%,-0.1119,0.5
ME02628,CA03118,25%,0.0704,0.419
ME02629,CA02715,25%,-0.1615,0.431
ME02630,CA05008,25%,-0.1306,0.439
ME02631,CA00898,100%,0.0973,0.173
ME02632,CA00981,50%,-0.306,0.482
ME02633,CA06992,75%,-0.057,0.477
ME02634,CA00133,50%,0.1086,0.191
ME02635,CA03077,25%,0.0211,0.412
ME02636,CA05300,75%,-0.2923,0.182
ME02637,CA02133,100%,-0.1599,0.489
ME02638,CA02918,100%,0.1683,0.309
ME02639,CA03496,100%,0.0304,0.183
ME02640,CA01183,100%,-0.0242,0.408
ME02641,CA00307,75%,0.0731,0.185
ME02642,CA03932,75%,-0.1266,0.442
ME02643,CA02345,25%,-0.0942,0.336
ME02644,CA04723,25%,-0.1455,0.292
ME02645,CA01408,100%,0.1985,0.437
ME02646,CA00198,50%,-0.1629,0.115
ME02647,CA01476,25%,0.1391,0.114
ME02648,CA07072,100%,-0.1361,0.419
ME02649,CA07082,75%,0.0208,0.232
ME02650,CA06050,50%,0.0553,0.382
ME02651,CA04315,100%,-0.0698,0.303
ME02652,CA03743,50%,0.1203,0.34
ME02653,CA03127,100%,0.0896,0.2
ME02654,CA06230,75%,-0.2688,0.19
ME02655,CA04914,100%,0.0933,0.189
ME02656,CA01778,25%,0.1406,0.15
ME02657,CA01339,75%,-0.1896,0.347
ME02658,CA02120,75%,-0.0374,0.298
ME02659,CA05254,25%,0.0185,0.451
ME02660,CA04246,25%,-0.1724,0.482
ME02661,CA05905,25%,0.0886,0.306
ME02662,CA05752,25%,0.0748,0.129
ME02663,CA03693,75%,-0.0137,0.377
ME02664,CA04250,25%,0.0411,0.438
ME02665,CA02023,25%,-0.0834,0.112
ME02666,CA07162,75%,-0.0695,0.337
ME02667,CA01745,25%,-0.0342,0.488
ME02668,CA04723,100%,0.0946,0.462
ME02669,CA00892,25%,-0.0189,0.102
ME02670,CA02783,100%,0.1115,0.125
ME02671,CA05773,75%,0.0939,0.426
ME02672,CA06428,75%,-0.2548,0.272
ME02673,CA04003,100%,0.0722,0.118
ME02674,CA05382,50%,0.0244,0.351
ME02675,CA03422,100%,-0.1071,0.388
ME02676,CA00356,100%,0.3032,0.21
ME02677,CA06030,75%,-0.1333,0.5
ME02678,CA02942,25%,0.0549,0.335
ME02679,CA00401,50%,-0.034,0.468
ME02680,CA04735,75%,0.0226,0.269
ME02681,CA07119,50%,-0.0411,0.247
ME02682,CA03774,50%,-0.1144,0.101
ME02683,CA01933,50%,-0.3371,0.204
ME02684,CA05641,50%,0.0937,0.125
ME02685,CA00856,50%,0.1123,0.487
ME02686,CA03335,25%,0.1651,0.161
ME02687,CA00808,50%,0.2809,0.473
ME02688,CA03916,100%,-0.0684,0.293
ME02689,CA04352,50%,-0.0278,0.399
ME02690,CA02017,25%,0.0461,0.173
ME02691,CA06675,75%,0.285,0.257
ME02692,CA07089,75%,0.1035,0.388
ME02693,CA06326,100%,0.2172,0.276
ME02694,CA07080,100%,-0.1447,0.329
ME02695,CA02915,50%,0.0438,0.445
ME02696,CA03532,25%,0.1326,0.167
ME02697,CA03843,25%,0.0366,0.156
ME02698,CA02458,25%,-0.3443,0.222
ME02699,CA07180,75%,-0.1024,0.2
ME02700,CA03838,100%,-0.0428,0.113
ME02701,CA01145,75%,0.1271,0.257
ME02702,CA06116,25%,-0.0403,0.159
ME02703,CA05976,100%,0.144,0.371
ME02704,CA02676,50%,0.0421,0.35
ME02705,CA04487,50%,0.085,0.457
ME02706,CA06522,50%,0.0577,0.386
ME02707,CA02924,50%,0.0021,0.106
ME02708,CA05745,50%,-0.2809,0.265
ME02709,CA03221,50%,0.1335,0.239
ME02710,CA03632,75%,0.057,0.155
ME02711,CA03920,75%,-0.0268,0.287
ME02712,CA02471,25%,0.4345,0.271
ME02713,CA04796,100%,0.088,0.424
ME02714,CA03445,25%,0.1592,0.111
ME02715,CA03628,100%,-0.2366,0.147
ME02716,CA06689,75%,-0.1136,0.407
ME02717,CA05966,50%,0.0639,0.441
ME02718,CA04414,75%,0.2873,0.445
ME02719,CA06678,50%,-0.2001,0.295
ME02720,CA03445,75%,-0.0102,0.366
ME02721,CA07191,50%,0.0503,0.249
ME02722,CA02296,25%,0.2801,0.213
ME02723,CA01499,50%,-0.1711,0.423
ME02724,CA01087,50%,-0.1835,0.138
ME02725,CA04969,75%,-0.1107,0.208
ME02726,CA06746,25%,0.1496,0.488
ME02727,CA06324,50%,-0.0692,0.122
ME02728,CA04951,75%,-0.15,0.323
ME02729,CA03925,100%,-0.0023,0.327
ME02730,CA00111,75%,0.3228,0.468
ME02731,CA03473,25%,-0.0067,0.254
ME02732,CA00470,75%,-0.2084,0.431
ME02733,CA00413,25%,-0.0204,0.361
ME02734,CA05085,50%,0.2227,0.427
ME02735,CA03452,75%,-0.2886,0.42
ME02736,CA01562,50%,-0.0567,0.421
ME02737,CA06503,75%,0.0737,0.388
ME02738,CA06312,25%,0.0831,0.373
ME02739,CA06816,50%,0.1117,0.213
ME02740,CA04203,100%,0.0004,0.14
ME02741,CA01518,100%,-0.0531,0.118
ME02742,CA05456,100%,-0.1888,0.471
ME02743,CA05874,50%,-0.1377,0.221
ME02744,CA06389,75%,-0.0328,0.239
ME02745,CA06750,75%,-0.2621,0.252
ME02746,CA00106,50%,0.2863,0.191
ME02747,CA06565,25%,-0.0409,0.431
ME02748,CA01834,75%,0.013,0.24
ME02749,CA00854,25%,-0.0667,0.348
ME02750,CA06045,25%,-0.0893,0.242
ME02751,CA06857,75%,0.0831,0.257
ME02752,CA02725,25%,-0.1278,0.23
ME02753,CA05631,75%,0.1403,0.157
ME02754,CA04390,25%,-0.1877,0.112
ME02755,CA02526,100%,-0.1014,0.149
ME02756,CA02208,100%,0.0768,0.363
ME02757,CA02712,25%,0.0377,0.408
ME02758,CA05715,75%,-0.1652,0.216
ME02759,CA01433,75%,-0.1833,0.409
ME02760,CA03717,100%,-0.294,0.229
ME02761,CA01633,50%,-0.0797,0.219
ME02762,CA00264,100%,-0.0244,0.445
ME02763,CA02329,50%,-0.0923,0.243
ME02764,CA02528,100%,-0.2399,0.171
ME02765,CA05828,75%,-0.0626,0.458
ME02766,CA02313,100%,-0.1884,0.142
ME02767,CA05651,50%,0.0469,0.409
ME02768,CA07064,50%,-0.1686,0.34
ME02769,CA01744,25%,0.0494,0.448
ME02770,CA00248,75%,-0.1365,0.296
ME02771,CA02429,25%,0.0724,0.211
ME02772,CA07177,75%,-0.1972,0.195
ME02773,CA00672,75%,0.275,0.472
ME02774,CA05709,50%,-0.0297,0.261
ME02775,CA03774,25%,0.3546,0.188
ME02776,CA00881,25%,-0.0174,0.271
ME02777,CA03528,75%,0.0623,0.378
ME02778,CA04500,50%,-0.2618,0.1
ME02779,CA06959,25%,-0.0061,0.213
ME02780,CA03638,25%,-0.1126,0.253
ME02781,CA03209,25%,-0.1224,0.198
ME02782,CA02317,100%,0.0345,0.441
ME02783,CA05146,75%,-0.0571,0.362
ME02784,CA05132,50%,-0.0535,0.429
ME02785,CA06883,50%,-0.1536,0.106
ME02786,CA04168,25%,-0.0703,0.447
ME02787,CA05005,50%,0.1451,0.5
ME02788,CA06420,50%,-0.2083,0.216
ME02789,CA07053,25%,-0.0878,0.432
ME02790,CA00838,50%,-0.1493,0.413
ME02791,CA04014,25%,0.0337,0.392
ME02792,CA06160,100%,-0.1689,0.366
ME02793,CA03229,100%,0.0566,0.42
ME02794,CA06286,25%,0.1129,0.107
ME02795,CA06438,25%,-0.1296,0.401
ME02796,CA06073,75%,-0.2054,0.16
ME02797,CA00972,100%,-0.1017,0.366
ME02798,CA04075,50%,-0.1576,0.489
ME02799,CA01932,50%,0.1796,0.325
ME02800,CA01837,25%,-0.013,0.186
ME02801,CA01893,25%,0.0741,0.14
ME02802,CA03673,100%,0.1244,0.311
ME02803,CA07088,100%,-0.2264,0.166
ME02804,CA01404,75%,-0.0061,0.197
ME02805,CA06185,50%,-0.333,0.263
ME02806,CA02349,50%,-0.0175,0.194
ME02807,CA00807,25%,-0.3433,0.308
ME02808,CA03106,50%,-0.0764,0.371
ME02809,CA06881,100%,-0.0254,0.39
ME02810,CA00624,25%,0.3101,0.185
ME02811,CA03662,25%,0.4615,0.19
ME02812,CA02050,100%,-0.0376,0.332
ME02813,CA04321,100%,0.2587,0.144
ME02814,CA02060,100%,-0.2186,0.394
ME02815,CA07198,50%,-0.2031,0.377
ME02816,CA01355,50%,0.2839,0.231
ME02817,CA06548,25%,0.0683,0.377
ME02818,CA04188,25%,-0.0329,0.313
ME02819,CA04911,100%,-0.087,0.31
ME02820,CA06773,75%,0.4039,0.361
ME02821,CA03972,25%,-0.0643,0.258
ME02822,CA05185,50%,-0.1271,0.267
ME02823,CA01931,50%,-0.2387,0.35
ME02824,CA05102,50%,-0.2691,0.368
ME02825,CA01427,100%,-0.0184,0.17
ME02826,CA00939,100%,0.1199,0.382
ME02827,CA05924,25%,0.118,0.325
ME02828,CA04493,50%,0.0462,0.498
ME02829,CA00262,25%,0.2437,0.331
ME02830,CA06959,100%,0.454,0.203
ME02831,CA04733,75%,0.1412,0.189
ME02832,CA04944,75%,0.1677,0.364
ME02833,CA06353,50%,-0.095,0.301
ME02834,CA04289,25%,-0.1753,0.331
ME02835,CA01943,50%,0.2908,0.243
ME02836,CA03706,100%,-0.0685,0.383
ME02837,CA00376,75%,-0.1025,0.184
ME02838,CA06515,100%,-0.012,0.117
ME02839,CA01403,75%,0.0548,0.463
ME02840,CA05097,25%,0.1088,0.276
ME02841,CA01014,50%,0.0957,0.271
ME02842,CA06173,75%,-0.0015,0.105
ME02843,CA01326,50%,0.0687,0.233
ME02844,CA06113,50%,0.0099,0.124
ME02845,CA02478,75%,-0.0866,0.394
ME02846,CA01961,75%,0.0478,0.223
ME02847,CA01261,25%,-0.3511,0.122
ME02848,CA04823,25%,0.0254,0.35
ME02849,CA05156,75%,-0.2732,0.458
ME02850,CA00297,75%,0.0838,0.137
ME02851,CA05978,100%,0.1148,0.234
ME02852,CA02830,25%,-0.1983,0.224
ME02853,CA00097,25%,0.1696,0.151
ME02854,CA02823,50%,-0.4412,0.269
ME02855,CA06276,50%,0.3115,0.192
ME02856,CA00115,75%,-0.0499,0.26
ME02857,CA03888,100%,-0.1429,0.266
ME02858,CA03948,75%,-0.409,0.335
ME02859,CA03623,100%,0.2469,0.179
ME02860,CA06002,100%,-0.0445,0.208
ME02861,CA05637,75%,-0.0123,0.268
ME02862,CA01497,50%,0.1994,0.484
ME02863,CA05508,100%,-0.2105,0.188
ME02864,CA00107,100%,0.0413,0.28
ME02865,CA03876,25%,0.0043,0.43
ME02866,CA06099,100%,0.1093,0.229
ME02867,CA01195,25%,0.0265,0.484
ME02868,CA00615,75%,-0.0653,0.356
ME02869,CA03632,25%,-0.2184,0.116
ME02870,CA02835,50%,-0.1054,0.264
ME02871,CA04100,75%,0.0889,0.407
ME02872,CA05417,100%,-0.2265,0.418
ME02873,CA07002,25%,-0.1174,0.359
ME02874,CA05817,50%,-0.0575,0.467
ME02875,CA01200,100%,0.2444,0.301
ME02876,CA03226,75%,-0.314,0.394
ME02877,CA05789,100%,-0.0072,0.134
ME02878,CA02921,100%,0.0664,0.137
ME02879,CA05550,25%,0.4945,0.112
ME02880,CA03861,75%,-0.1065,0.114
ME02881,CA01253,75%,0.1729,0.264
ME02882,CA00409,50%,0.2059,0.137
ME02883,CA02168,75%,-0.0881,0.301
ME02884,CA00628,25%,0.2233,0.307
ME02885,CA05896,100%,0.0532,0.173
ME02886,CA01597,100%,0.1651,0.488
ME02887,CA05152,100%,-0.0477,0.2
ME02888,CA03487,50%,-0.2424,0.464
ME02889,CA06275,100%,-0.0694,0.295
ME02890,CA03015,75%,0.1413,0.251
ME02891,CA05193,100%,0.194,0.177
ME02892,CA06946,25%,0.0775,0.444
ME02893,CA03415,100%,0.0532,0.463
ME02894,CA03001,100%,-0.2061,0.195
ME02895,CA03790,75%,-0.3106,0.383
ME02896,CA00546,50%,0.0811,0.413
ME02897,CA00823,100%,-0.1428,0.169
ME02898,CA01249,25%,-0.1323,0.128
ME02899,CA02614,50%,0.0049,0.215
ME02900,CA02421,75%,0.197,0.259
ME02901,CA00087,100%,-0.0079,0.261
ME02902,CA04623,50%,0.5996,0.472
ME02903,CA00627,50%,-0.2314,0.375
ME02904,CA04859,75%,-0.2415,0.486
ME02905,CA06648,100%,0.1191,0.411
ME02906,CA00493,100%,0.2514,0.431
ME02907,CA05484,100%,0.0767,0.487
ME02908,CA00648,75%,0.1001,0.348
ME02909,CA03605,75%,0.0488,0.16
ME02910,CA01697,75%,-0.0182,0.267
ME02911,CA05880,75%,0.0328,0.17
ME02912,CA00589,100%,-0.1769,0.218
ME02913,CA06294,50%,-0.2776,0.37
ME02914,CA06305,75%,-0.1013,0.242
ME02915,CA00635,25%,-0.0604,0.156
ME02916,CA06299,50%,-0.2071,0.208
ME02917,CA04388,25%,0.174,0.129
ME02918,CA06866,75%,0.0062,0.392
ME02919,CA01576,100%,-0.1909,0.144
ME02920,CA00428,25%,0.1519,0.197
ME02921,CA05995,25%,0.1624,0.462
ME02922,CA01969,75%,-0.024,0.466
ME02923,CA06810,75%,-0.1634,0.437
ME02924,CA02131,25%,0.0393,0.118
ME02925,CA07011,75%,0.1929,0.207
ME02926,CA06754,100%,-0.1148,0.242
ME02927,CA02771,100%,0.2324,0.115
ME02928,CA02764,100%,0.0512,0.41
ME02929,CA01428,50%,0.1707,0.269
ME02930,CA01850,50%,0.1209,0.321
ME02931,CA04343,50%,0.0154,0.243
ME02932,CA00057,100%,0.1811,0.486
ME02933,CA02503,75%,-0.0844,0.384
ME02934,CA02856,100%,0.0171,0.2
ME02935,CA05396,100%,-0.1122,0.101
ME02936,CA06306,50%,0.0342,0.196
ME02937,CA05754,50%,0.1103,0.148
ME02938,CA04764,75%,-0.0923,0.472
ME02939,CA04203,50%,-0.024,0.456
ME02940,CA02481,75%,-0.0621,0.375
ME02941,CA03085,50%,-0.1538,0.158
ME02942,CA05527,25%,-0.1519,0.301
ME02943,CA06046,50%,-0.0825,0.45
ME02944,CA06938,25%,0.147,0.174
ME02945,CA00042,50%,0.0755,0.18
ME02946,CA07188,50%,0.0831,0.357
ME02947,CA00926,50%,0.283,0.43
ME02948,CA04244,50%,0.2142,0.306
ME02949,CA01675,100%,-0.0978,0.271
ME02950,CA03225,25%,-0.1632,0.428
ME02951,CA00593,25%,0.1748,0.335
ME02952,CA02006,25%,0.393,0.131
ME02953,CA04349,75%,0.1642,0.141
ME02954,CA04718,50%,-0.0199,0.275
ME02955,CA01589,25%,0.2468,0.349
ME02956,CA07094,75%,-0.0626,0.169
ME02957,CA06201,100%,0.1816,0.332
ME02958,CA05547,50%,-0.0529,0.384
ME02959,CA02530,25%,0.0454,0.304
ME02960,CA05937,50%,-0.0607,0.31
ME02961,CA00824,100%,-0.2493,0.144
ME02962,CA05933,75%,-0.0127,0.262
ME02963,CA00898,100%,-0.1286,0.327
ME02964,CA02797,75%,0.0586,0.443
ME02965,CA06279,75%,0.2518,0.472
ME02966,CA06525,25%,-0.0095,0.451
ME02967,CA02226,75%,0.2301,0.355
ME02968,CA02010,100%,-0.2471,0.493
ME02969,CA06339,75%,-0.0853,0.336
ME02970,CA00497,50%,-0.2364,0.149
ME02971,CA03485,50%,0.1615,0.181
ME02972,CA05549,100%,-0.0901,0.399
ME02973,CA00431,25%,0.1025,0.291
